1,พระราชบัญญัติตำรวจแห่งชาติพ.ศ.2547ตราขึ้นโดยคำแนะนำและยินยอมของ……,นายกรัฐมนตรี,ประธานรัฐสภา,วุฒิสภา,รัฐสภา,4
2,ให้......รักษาการตามพระราชบัญญัติตำรวจแห่งชาติพ.ศ.2547และมีอำนาจออก...........เพื่อปฏิบัติตามพระราชบัญญัตินี้,นายกรัฐมนตรี/พระกิจจานุเบกษา,นายกรัฐมนตรี/กฏกระทรวง,นายกรัฐมนตรี/พระราชกฤษฏีกา,นายกรัฐมนตรี / ระเบียบ,2
3,ให้ตร.ส่งเสริมให้ท้องถิ่นและชุมชนมีส่วนร่วมในกิจการตำรวจเพื่อป้องกันและปราบปรามการกระทำผิดทางอาญา ทั้งนี้การดำเนินการมีส่วนร่วมให้เป็นไปตามหลักเกณฑ์และวิธีการที่ใครกำหนด…… ,ก.ต.ช,ก.ต.ร.,คณะรัฐมนตรี    ,ผู้บัญชาการตำรวจ  ,1
4,การแบ่งข้าราชการตำรวจประเภทไม่มียศด้วยก็ได้โดยให้ตราเป็น.......,พระราชกำหนด,พระราชกฤษฏีกา,พระราชกิจจานุเบกษา,พระราชบัญญัติ,2
5,กรณีจำเป็นเพื่อประโยชน์ในการปฏิบัติหน้าที่…….จะกำหนดให้ข้าราชการตำรวจต้องปฏิบัติหน้าที่ตาม วัน เวลา ที่แตกต่างจากที่คณะรัฐมนตรีกำหนด    ,ก.ต.ร,ผู้บัญชาการตำรวจ,ก.ต.ช.,ประธาน ก.ต.ร.,3
6,การแบ่งราชการเป็นกองบังคับการให้ออกเป็น......,พระราชกำหนด,พระราชกฤษฏีกา,พระราชกิจจานุเบกษา,กฏกระทรวง,4
7,ผู้บัญชาการต้องรายงายผลการปฏิบัติงานพร้อมทั้งปัญหา และอุปสรรคต่อผู้บัญชาการตำรวจแห่งชาติทุก…..เดือนหรือตามระยะเวลาที่ผู้บัญชาการตำรวจแห่งชาติกำหนด,สามเดือน,สี่เดือน,ห้าเดือน,หกเดือน,2
8,กรรมการผู้ทรงคุณวุฒิของ ก.ต.ช ต้องมีความเชี่ยวชาญ หรือประสบการณ์ในด้านใดบ้าง,กฎหมาย  รัฐศาสตร์ อาญาวิทยา ,การงบประมาณ  เศรษฐศาสตร์  งานยุติธรรม ,การพัฒนาองค์กร การวางแผน  การงบประมาณ,รัฐประศาสนศาสตร์  การวางแผน นิติศาสตร์  ,3
9,หากกรรมการผู้ทรงคุณวุฒิของก.ต.ช.พ้นจากตำแหน่งตามวาระให้ดำเนินการอย่างไร,สรรหาใหม่ภายใน๖๐วันก่อนวันครบวาระ,สรรหาใหม่ทันที่ภายใน ๑๕ วันก่อนวันครบวาระ,ปฏิบัติหน้าที่ต่อไปจนเกิน ๒ วาระติดต่อกันได้,ปฏิบัติหน้าที่ต่อไปจนกว่ากรรมการผู้ทรงคุณวุฒิซึ่งได้รับสรรหาใหม่เข้ารับหน้าที่,4
10,ยศตำรวจเริ่มตั้งแต่ลำดับใดถึงลำดับใด,พลตำรวจ – พลตำรวจเอก,สิบตำรวจตรี. – พลตำรวจเอก,"พลตำรวจ , ประทวน , สัญญาบัตร",ชั้นประทวน – ชั้นสัญญาบัตร,2
11,ผู้ที่มีอำนาจสั่งแต่งตั้งว่าที่ยศพลตำรวจตรีขึ้นไปได้แก่,นายกรัฐมนตรี,ผู้บัญชาการตำรวจแห่งชาติ,คณะรัฐมนตรี,ก.ต.ช.,1
12,สำนักงานตำรวจแห่งชาติเป็นส่วนราชการที่มีฐานะเป็น….. และอยู่ในการบังคับบัญชาของ…….,มีฐานะเป็นทบวงไม่ขึ้นกับกระทรวง ทบวง,เป็นกรมขึ้นกับกระทรวงมหาดไทย,เป็นกรมขึ้นกับกระทรวงยุติธรรม,นิติบุคคล อยู่ในบังคับบัญชาของนายกรัฐมนตรี,4
13,ข้อใดไม่ใช่โทษทางวินัย,ตัดเงินเดือน     ทัณฑกรรม  ไล่ออก,ให้ออก  จำขัง  ,กักยาม กักขัง ทัณฑ์กรรม,ไล่ออก ทัณฑ์กรรม กักขัง,2
14,ข้อใดไม่ใช่ตำแหน่งข้าราชการตำรวจ ตาม พ.ร.บ.2547,พนักงานสอบสวนผู้เชี่ยวชาญพิเศษ,รองผู้บังคับหมู่,ผู้ช่วยผู้บัญชาการ,รองผู้บัญชาการ,3
15,ข้าราชการตำรวจได้รับเงินเพิ่มค่าครองชีพชั่วคราวตามภาวะเศรษฐกิจเป็นไปตามหลักเกณฑ์และ วิธีการที่กำหนดใน,คณะรัฐมนตรี,ก.ต.ช., ก.ตร.,พระราชกฤษฎีกา,4
16,การพิจารณาอุทธรณ์คำสั่งกักยามให้พิจารณาให้แล้วเสร็จภายใน,๒๔๐ วันนับแต่วันที่ได้รับอุทธรณ์,๑๒๐ วันนับแต่วันที่ได้รับอุทธรณ์,๖๐ วันนับแต่วันที่ได้รับอุทธรณ์,๓๐ วันนับแต่วันที่ได้รับอุทธรณ์,1
17,การใช้สิทธิอุทธรณ์กรณีถูกตัดเงินเดือนต้องกระทำภายในกี่วันนับแต่วันที่ทราบคำสั่ง,๑๐ วัน,๓๐ วัน,๖๐ วัน,๙๐ วัน,2
18,ข้าราชการตำรวจที่อาจถูกสืบสวนและสอบสวนว่ากระทำผิดวินัยแต่ได้ออกไปก่อนดำเนินการสืบสวนหรือสอบสวนจะต้องถูกสืบสวนหรือสอบสวนต่อหากกลับเข้ารับราชการภายในกี่ปี,๔ ปี,๕ ปี,๖ ปี,๗ ปี,2
19,การแต่งตั้งผู้บัญชาการตำรวจแห่งชาตินายกรัฐมนตรีคัดเลือกรายชื่อเสนอหน่วยงานใด…..เพื่อพิจารณาให้ความ   เห็นชอบก่อนแล้วให้นายกรัฐมนตรีนำความกราบบังคมทูลเพื่อทรงพระกรุณาโปรดเกล้าฯ แต่งตั้ง,ก.ตร.,รัฐมนตรีกระทรวงมหาดไทย,คณะรัฐมนตรี,ก.ต.ช.,4
20,การแต่งตั้งข้าราชการตำรวจให้ดำรงตำแหน่งรองผู้บัญชาการตำรวจแห่งชาติให้ผู้บัญชาการตำรวจแห่งชาติคัดเลือกรายชื่อข้าราชการตำรวจเสนอ……เพื่อพิจารณาให้ความเห็นชอบก่อนแล้วให้นายกรัฐมนตรีนำความกราบบังคมทูลเพื่อทรงพระกรุณาโปรดเกล้าฯแต่งตั้ง,ก.ตร.,รัฐมนตรีกระทรวงมหาดไทย,ก.ต.ช,คณะรัฐมนตรี,1
21,ผู้ใดไม่ใช่คณะกรรมการบริหารกองทุนเพื่อการสืบสวนและสอบสวนคดีอาญา,ผู้แทนกระทรวงยุติธรรม,ผู้แทนสำนักงบประมาณ ,ผู้แทนกรมบัญชีกลาง,ผู้แทนกระทรวงมหาดไทย,4
