1,ข้อใดต่อไปนี้ที่ไม่ใช่ความหมายเกี่ยวข้องกับการส่งกำลังบำรุง,1Logistics,2งานพลาธิการ,3การจัดหา,4การฝึกอบรม,4
2,ปัจจัยสำคัญในการส่งกำลังบำรุงประกอบด้วย,1การบริหารคน การบริหารเงิน การบริหารจัดการ การบริหารคุณธรรม,2การวิจัยและพัฒนา การทำงบประมาณ การส่งกลับ,3การจัดหา การส่งกำลัง การซ่อมบำรุง,4การเคลื่อนย้าย การซ่อมแซม การแจกจ่าย,1
3,ข้อใดต่อไปนี้เป็นส่วนหนึ่งของขอบเขตของงานส่งกำลังบำรุง ในประเด็นของการส่งกำลัง,1การขนส่ง,2การบริการทางการแพทย์,3การจัดหา,4ความเชื่อถือได้,3
4,การกำหนดความต้องการในการจัดหา อยู่ในเรื่องใด,1การขนส่ง,2การส่งกำลัง,3การบริการทางการแพทย์,4การวัดผล,2
5,ข้อใดถูกต้องที่สุด เกี่ยวกับขอบเขตของงานส่งกำลังบำรุง,1การส่งกำลัง การขนส่ง การบริการทางการแพทย์ การบริการอื่นๆ,2การส่งกำลัง การซ่อมบำรุง การขนส่ง การบริการทางการแพทย์ การบริการอื่นๆ,3การส่งกำลัง การบริการทางการแพทย์ การบริการอื่นๆ การบริหารคน,4การส่งกำลัง การขนส่ง การจัดหา การบริการอื่นๆ,2
6,ข้อใดต่อไปนี้ที่เป็นความสัมพันธ์ของการบริหารพัสดุกับการส่งกำลังบำรุง,1การส่งกำลังการซ่อมบำรุง,2การขนส่ง การบริการทางการแพทย์,3การบริหารคน การขนส่ง,4การส่งกำลัง การบริการทางการแพทย์,1
7,การส่งกำลังบำรุงที่ดี ควรใช้หลักการส่งกำลังบำรุงใดบ้าง,1ความเชื่อถือได้ ทันเวลาและสนองตอบความต้องการ,2ความอ่อนตัว ความปลอดภัย ประหยัดและพอเพียง,3การซ่อมบำรุง การขนส่ง,4ใช้หลักการส่งกำลังบำรุงทั้งข้อ 1 และ 2 คู่กัน,4
8,ข้อใดไม่ใช่ปัจจัยการส่งกำลังบำรุง,1การบริหารข้อมูลข่าวสาร,2การบริหารคุณธรรม,3การบริหารวัดผล,4การจัดซื้อจัดจ้าง,4
9,ข้อใดต่อไปนี้ที่เกี่ยวข้องกับการบริหารข้อมูลข่าวสาร,1กระบวนการจัดการบริหารควบคุมระบบงาน,2นำข้อมูลข่าวสารมาวิเคราะห์ประมวลผล,3การกำหนดและการควบคุมการปฏิบัติงานให้บรรลุผลตามเวลา,4การบริหารวัสดุอุปกรณ์,2
10,ข้อใดต่อไปนี้ถูกต้อง,1การส่งกำลัง การขนส่ง เป็นส่วนหนึ่งของหลักการส่งกำลังบำรุง,2ความเชื่อถือได้ ความปลอดภัย เป็นส่วนหนึ่งของขอบเขตการส่งกำลังบำรุง,3การขนส่ง การบริการทางการแพทย์ เป็นส่วนหนึ่งของขอบเขตการส่งกำลังบำรุง,4การจัดหา ความเชื่อถือได้ เป็นส่วนหนึ่งของขอบเขตการส่งกำลังบำรุง,3
11,หน่วยสนับสนุนทางการส่งกำลังบำรุงที่อยู่ในที่ตั้งสำนักงาน จะต้องให้การสนับสนุนแก่หน่วยที่ปฏิบัติในพื้นที่ซึ่งอยู่ส่วนหน้า รวมทั้งการสนับสนุนจากหน่วยเหนือไปยังหน่วยรองด้วย เพื่อปลดเปลื้องงานด้านการส่งกำลังบำรุงของหน่วยรอง (หน่วยปฏิบัติ) ให้มากที่สุด คือหลักการส่งกำลังบำรุงข้อใด,1การรวมการสนับสนุน,2ความเชื่อถือได้,3การสนับสนุนจากข้างหลังไปข้างหน้า,4ความอ่อนตัว  ,3
12,กระบวนการและกรรมวิธีในการดำเนินการที่ไม่ยุ่งยากสลับซับซ้อน ขจัดขั้นตอนที่ไม่จำเป็นออกให้เหลือน้อยที่สุด หลีกเลี่ยงแบบฟอร์มที่ต้องกรอกข้อความต่างๆ ที่ไม่ได้นำมาใช้ประโยชน์  และต้องไม่ผ่านสายงานและเจ้าหน้าที่มาก ตลอดจนต้องไม่มีการขออนุมัติหลายลำดับชั้น ทั้งนี้ จะต้องไม่ขัดต่อระเบียบ หลักการประหยัด   คือ หลักการส่งกำลังบำรุงข้อใด,1การรวมการสนับสนุน,2ความเชื่อถือได้,3การสนับสนุนจากข้างหลังไปข้างหน้า,4ความง่าย,4
13,"การสนับสนุนสิ่งอุปกรณ์ให้หน่วยปฏิบัติได้มีและใช้ในปริมาณที่ต้องการ ณ เวลา และสถานที่ที่กำหนด โดยไม่ล่าช้า ทันต่อเวลาที่กำหนดไว้ในแผนการปฏิบัติ ทั้งนี้ ผู้วางแผนจะต้องมีแนวทางที่ชัดเจนและต้องประสานงานกันอย่างถูกต้องและกระจ่างชัด ระหว่างหน่วยปฏิบัติกับผู้รับผิดชอบงานส่งกำลังบำรุง 
 คือ หลักการส่งกำลังบำรุงข้อใด
",1การสนองตอบความต้องการและทันเวลา,2ความเชื่อถือได้,3การสนับสนุนจากข้างหลังไปข้างหน้า,4ความง่าย,1
14,ข้อใดเป็นหน้าที่โรงพยาบาลตำรวจ,1สนับสนุนการขนส่ง ลำเลียงอุปกรณ์ และการส่งกลับผู้ป่วยทางอากาศ,2สนับสนุนบริการทางการแพทย์ ศูนย์ส่งกลับ,3กำหนดกรอบอัตรา จัดหา ควบคุม,4งานการพัสดุประเภทสรรพาวุธ งานคลังรับ-จ่าย บัญชีคุม  และคลังอาวุธและวัตถุระเบิด,2
15,ข้อใดต่อไปนี้ถูกต้อง,1การส่งกำลัง การขนส่ง เป็นส่วนหนึ่งของหลักการส่งกำลังบำรุง,2ความเชื่อถือได้ ความปลอดภัย เป็นส่วนหนึ่งของขอบเขตการส่งกำลังบำรุง,3การจัดหา  ความเชื่อถือได้  เป็นส่วนหนึ่งของขอบเขตการส่งกำลังบำรุง,4การขนส่ง การบริการทางการแพทย์  เป็นส่วนหนึ่งของขอบเขตการส่งกำลังบำรุง,4
16,หน่วยสนับสนุนจะต้องมีขีดความสามารถ ซึ่งทำให้หน่วยรับการสนับสนุน (หน่วยปฏิบัติ) มีความมั่นใจได้ว่า จะได้รับการสนับสนุนสิ่งของได้ตามเวลา ณ สถานที่ที่ได้กำหนดไว้ คือ หลักการส่งกำลังบำรุงข้อใด,1การสนองตอบความต้องการและทันเวลา,2ความเชื่อถือได้,3การสนับสนุนจากข้างหลังไปข้างหน้า,4ความง่าย,2
17,ข้อใดต่อไปนี้ที่เป็นความสัมพันธ์ของการบริหารพัสดุกับการส่งกำลังบำรุง,1การบริหารคน การขนส่ง     ,2การขนส่ง การบริการทางการแพทย์,3การส่งกำลัง  การซ่อมบำรุง,4การส่งกำลัง  การบริการทางการแพทย์,3
18,ในการส่งกำลังบำรุง ควรจะใช้กำลังพล สิ่งอุปกรณ์ และสิ่งอำนวยความสะดวกให้ได้อย่างสมบูรณ์  ไม่ขาดแคลน แต่ไม่เหลือเฟือ และต้องคำนึงถึงความประหยัด และความคุ้มค่าให้มากที่สุด คือ หลักการส่งกำลังบำรุงข้อใด,1การสนองตอบความต้องการและทันเวลา,2ความเชื่อถือได้,3การสนับสนุนจากข้างหลังไปข้างหน้า,4การประหยัดและความพอเพียง  ,4
19,ข้อใดไม่ใช่หลักการส่งกำลังบำรุง,1ระบบสารสนเทศ,2ความเชื่อถือได้,3การรวมการสนับสนุน,4ความอ่อนตัว  ,1
