1,งานมวลชนสัมพันธ์มีความแตกต่างจากงานชุมชนสัมพันธ์อย่างไร,1เป้าหมายต่างกัน,2วิธีการต่างกัน,3จุดกำเนิดต่างกัน,4ไม่มีความแตกต่างกัน,1
2,ข้อใดไม่ใช่กรอบในการดำเนินงานชุมชนและมวลชนสัมพันธ์,1รัฐธรรมนูญแห่งราชอาณาจักรไทย ฉบับปัจจุบัน,2พระราชบัญญัติตำรวจแห่งชาติ พ.ศ.2547,3พระราชบัญญัติระเบียบบริหารราชการแผ่นดิน พ.ศ.2534,4พระราชกฤษฎีกา ว่าด้วย หลักเกณฑ์และวิธีการบริหารกิจการบ้านเมืองที่ดี พ.ศ.2546,3
3,ข้อใดไม่ใช่ข้อพิจารณาตัวบุคคลที่จะทำงานชุมชนและมวลชนสัมพันธ์,1ความถนัด,2ฐานะทางสังคม,3การแต่งกาย,4บุคลิกภาพ,2
4,ข้อใดไม่ใช่หลักการสร้างมนุษยสัมพันธ์,1การสำรวจตนเอง,2ศึกษาสิ่งที่ควรรู้เกี่ยวกับบุคคลที่จะเข้าไปเกี่ยวข้องด้วย,3การแสวงหาผลประโยชน์ร่วมกัน,4การผูกมิตร,3
5,......................................หมายถึง “การทำกิจกรรมที่ภาครัฐร่วมกับชุมชนหรือประชาชน โดยให้ประชาชนมีส่วนร่วมในการแสดงความคิดเห็น...”,1งานชุมชนสัมพันธ์,2งานมวลชนสัมพันธ์,3การบริหารกิจการบ้านเมืองที่ดี,4การตำรวจชุมชน,2
6,ข้อใดจัดเป็นแนวคิดของฝ่ายอำนวยการตำรวจอันดับแรกในการทำงานชุมชนและมวลชนสัมพันธ์,1การกำหนดวัตถุประสงค์,2การกำหนดเป้าหมาย,3การกำหนดแผนปฏิบัติงาน,4การเลือกพื้นที่เป้าหมาย,2
7,ข้อใดจัดเป็นแนวคิดของฝ่ายอำนวยการตำรวจอันดับสุดท้ายในการทำงานชุมชนและมวลชนสัมพันธ์,1การประชาสัมพันธ์ให้กลุ่มเป้าหมายทราบ,2การดำเนินกิจกรรมตามแผนงาน,3การติดตามและประเมินผล,4การจัดหางบประมาณในการดำเนินการ,3
8,การประสานงานด้านชุมชนและมวลชนสัมพันธ์ในลักษณะของ “การนิเทศ” หมายถึงอะไร,1การตรวจงานเพื่อให้การแนะนำปรึกษาและปรับปรุงแก้ไขวิธีทำงาน,2การให้คำปรึกษาโดยผู้เชี่ยวชาญในงานที่อาศัยเทคนิคสูงหรือมีความสลับซับซ้อน,3การพัฒนาเจ้าหน้าที่ให้มีความรู้ความสามารถในการทำงานที่สูงขึ้น,4การจัดตั้งกรรมการจากฝ่ายต่างๆ เพื่อร่วมมือและประสานการทำงาน,1
9,...................................หมายถึง “การติดต่อสื่อสารของหน่วยงานกับกลุ่มคน องค์กร หรือผู้มีส่วนได้ส่วนเสียที่อยู่ใกล้เคียง หรือเกี่ยวข้องโดยตรงกับหน่วยงาน เพื่อสร้างความรู้จักคุ้นเคยและความเข้าใจอันดีต่อกัน โดยมุ่งหวังผลให้ผู้มีส่วนได้เสียดังกล่าวเกิดทัศนคติที่ดีกับหน่วยงาน...”,1งานชุมชนสัมพันธ์,2งานมวลชนสัมพันธ์,3การบริหารกิจการบ้านเมืองที่ดี,4การตำรวจชุมชน,1
10,...................................เป็นการดำเนินการของกลุ่มมวลชนอย่างครบวงจร เริ่มตั้งแต่การฝึกอบรม การจัดตั้ง การควบคุมและการนำการเคลื่อนไหวภายในขอบเขตอำนาจหน้าที่ของตำรวจ...,1งานชุมชนสัมพันธ์,2งานมวลชนสัมพันธ์,3การบริหารกิจการบ้านเมืองที่ดี,4การตำรวจชุมชน,2
