1,ปัจจัยข้อใดไม่ส่งผลต่อการเปลี่ยนแปลงรายได้ประชาชาติ,การบริโภค ,การลงทุน,อัตราเงินเฟ้อ,การส่งออกสินค้าและบริการ,3
2,ข้อใด ไม่ใช่ โอกาสทางด้านธุรกิจของประเทศไทย,นโยบายกระตุ้นเศรษฐกิจของรัฐบาลไทย,โลกต้องการอาหารมากขึ้น,เศรษฐกิจของโลกขยายตัวอย่างต่อเนื่อง,การเปิดประชาคมเศรษฐกิจอาเซียน,1
3,สภาพการณ์ใดบ่งบอกว่าเกิดภาวะเงินเฟ้อในระบบเศรษฐกิจ,ประชาชนมีรายได้ที่แท้จริงเพิ่มขึ้น             ,สินค้าและบริการต่าง ๆ มีราคาสูงขึ้น,อำนาจซื้อของเงินที่มีอยู่ในมือประชาชนลดลง,เงินจำนวนเท่าเดิมไม่สามารถซื้อสินค้าและบริการตามที่ต้องการได้,2
4,การวิเคราะห์เศรษฐกิจด้วยเครื่องมือ SWOT Analysis ปัจจัยใดที่เราสามารถควบคุมได้,จุดแข็ง และ โอกาส                              ,โอกาส และ ข้อจำกัด,จุดแข็ง และ จุดอ่อน                               ,ไม่สามารถควบคุมได้เลย,3
5,ข้อใดเป็นผลของการรวมกลุ่มการค้าระหว่างประเทศแบบเขตการค้าเสรีอาเซียน,ประเทศสมาชิกอาเซียนจะเก็บภาษีจากประเทศภายนอกในอัตราเดียวกัน,ประเทศสมาชิกอาเซียนจะใช้นโยบายทางเศรษฐกิจและค่าเงินสกุลเดียวกัน,ประเทศสมาชิกอาเซียนจะขจัดกำแพงการค้าระหว่างกัน แต่ยังคงมีกับประเทศอื่นๆ ภายนอก,ประเทศสมาชิกอาเซียนจะสามารถเคลื่อนย้ายปัจจัยการผลิตระหว่างกันได้อย่างอิสระ,3
6,มาตรการกีดกันทางการค้าที่มิใช่ภาษี (Non Tariff Barriers) มีหลายประการ ยกเว้นข้อใด,ภาษีมูลค่าเพิ่ม,ภาษีศุลกากร,การกำหนดเกี่ยวกับการปิดฉลากสินค้า,การกำหนดมาตรฐานแรงงาน สิ่งแวดล้อม และทรัพย์สินทางปัญญา,2
7,ข้อใด ไม่ใช่ เป้าหมายในการดำเนินธุรกิจในอดีต,มีความรับผิดชอบต่อสังคม,ต้นทุนการผลิตต่อหน่วยต่ำ,ครองส่วนแบ่งการตลาดสูง,กำไรสูง,1
8,ข้อใดถูกต้องตามหลักปรัชญาเศรษฐกิจพอเพียง,รู้จักกินรู้จักใช้ จนอยู่ได้ไม่เดือดร้อน,ขยันทำกิน จนมีเงินใช้จ่ายไม่เดือดร้อน,ขยันทำมาหากิน รู้จักเก็บออม ใช้จ่ายอย่างไม่เดือดร้อน,ขยันทำมาหากิน รู้จักเก็บออม จนมีเงินให้กู้ ,3
9,สาเหตุของการเกิดปัญหาวิกฤตเศรษฐกิจในยุโรปคือ,คนตกงาน ไม่มีรายได้             ,ธนาคารล้ม,เกิดฟองสบู่ในยุโรป,หนี้สาธารณะสูง,4
10,ท่านคิดว่าโครงสร้างรายได้ทางเศรษฐกิจของประเทศไทย เรื่องใดที่มีความสำคัญที่สุด,การบริโภค                               ,การส่งออก,การใช้จ่ายของรัฐบาล                              ,การลงทุนของภาคเอกชน,2
