1,ข้อใดต่อไปนี้คือรายการของงบกลาง,1งบเงินสำรองจ่ายเพื่อกรณีฉุกเฉินหรือจำเป็น,2งบดำเนินงาน รายการค่าซ่อมแซมยานพาหนะ,3งบลงทุน รายการเครื่องปรับอากาศ,4งบบุคลากร รายการค่าจ้างของบุคลากร,1
2,ข้อใดไม่ใช่งบประมาณรายจ่ายของส่วนราชการ,1งบบุคลากร,2งบกลาง,3งบรายจ่ายอื่น,4งบลงทุน,2
3,ข้อใดต่อไปนี้กล่าวถึงปีงบประมาณถูกต้อง,11 ตุลาคมของปีหนึ่ง ถึงวันที่ 30 กันยายนของปีถัดไป และให้ใช้ปี พ.ศ.ที่ถัดไปเป็นชื่อสำหรับปีงบประมาณ,22 ตุลาคมของปีหนึ่ง ถึงวันที่ 30 กันยายนของปีถัดไปและให้ใช้ปี พ.ศ.ที่ถัดไปเป็นชื่อสำหรับปีงบประมาณ,330 ตุลาคมของปีหนึ่ง ถึงวันที่ 30 กันยายนของปีถัดไปและให้ใช้ปี พ.ศ.ที่ถัดไปเป็นชื่อสำหรับปีงบประมาณ,41 มกราคม ถึงวันที่ 31 ธันวาคม และให้ใช้ปี พ.ศ.ที่ถัดไปเป็นชื่อสำหรับปีงบประมาณ,1
4,การโอนเงินงบประมาณรายจ่ายที่ได้รับจัดสรรงบประมาณของผลผลิตหรือโครงการใดไปผลผลิตหรือโครงการอื่นภายใต้งบรายจ่ายเดียวกัน หรือการโอนเงินต่างงบรายจ่ายในผลผลิตหรือโครงการเดียวกันภายใต้แผนงานเดียวกัน คือความหมายของข้อใด,1การจัดสรรงบประมาณรายจ่าย,2การโอนงบประมาณรายจ่าย,3การเปลี่ยนแปลงรายการงบประมาณรายจ่าย,4การโอนจัดสรรงบประมาณรายจ่าย,2
5,การโอนจัดสรรงบประมาณรายจ่ายจากสำนักเบิกส่วนกลางไปยังสำนักเบิกส่วนภูมิภาคใด หรือจากสำนักเบิกส่วนภูมิภาคใดไปยังสำนักเบิกส่วนภูมิภาคอื่น โดยสอดคล้องกับแผนการปฏิบัติงานและแผนการใช้จ่ายงบประมาณ คือความหมายของข้อใด,1การจัดสรรงบประมาณรายจ่าย,2การโอนงบประมาณรายจ่าย,3การเปลี่ยนแปลงรายการงบประมาณรายจ่าย,4การโอนจัดสรรงบประมาณรายจ่าย,4
6,รายการงบประมาณรายจ่ายที่กำหนดให้ต้องจ่ายเงินงบประมาณรายจ่ายเกินหนึ่งปีงบประมาณขึ้นไปในขณะที่ได้ก่อหนี้ผูกพัน คือความหมายของข้อใด,1รายการจัดสรรงบประมาณ,2รายการโอนงบประมาณ,3รายการก่อหนี้ผูกพันข้ามปีงบประมาณ,4รายการเปลี่ยนแปลงงบประมาณ,3
7,ตามระเบียบว่าด้วยการบริหารงบประมาณ พ.ศ. 2548 และที่แก้ไขเพิ่มเติม กำหนดให้ส่งแผนการปฏิบัติงาน และแผนการใช้จ่ายงบประมาณให้สำนักงบประมาณพิจารณาให้ความเห็นชอบก่อนวันเริ่มต้นปีงบประมาณไม่น้อยกว่ากี่วัน,115 วัน,220 วัน,325 วัน,430 วัน,1
8,ข้อใดกล่าวถึงการใช้รายจ่ายที่ได้รับจากการจัดสรรงบประมาณ หรือการโอนและหรือเปลี่ยนแปลงรายการงบประมาณรายจ่ายในแต่ละงบรายจ่ายของแต่ละผลผลิตหรือโครงการภายใต้แผนงานหรือแผนงานในเชิงบูรณาการเดียวกัน ไม่ถูกต้อง,1งบบุคลากรให้ใช้จ่ายเป็นรายจ่ายใดๆ ที่สำนักงบประมาณกำหนดว่าเป็นรายจ่ายงบรายจ่ายนี้ และให้ถัวจ่ายกันได้,2งบดำเนินงานให้ใช้จ่ายเป็นรายจ่ายใดๆ ที่สำนักงบประมาณกำหนดว่าเป็นรายจ่ายงบรายจ่ายนี้ และให้ถัวจ่ายกันได้ รวมทั้งรายจ่ายประเภทค่าสาธารณูปโภคที่สามารถถัวจ่ายได้,3งบดำเนินงานให้ใช้จ่ายเป็นรายจ่ายใดๆ ที่สำนักงบประมาณกำหนดว่าเป็นรายจ่ายงบรายจ่ายนี้ และให้ถัวจ่ายกันได้ เว้นแต่รายจ่ายประเภทค่าสาธารณูปโภคให้นำไปใช้จ่ายในประเภทอื่นภายในงบรายจ่ายนี้ได้ หากไม่มีหนี้ค่าสาธารณูปโภคค้างชำระ,4งบลงทุนให้ใช้จ่ายเป็นรายจ่ายใดๆ ที่กำหนดว่าเป็นรายจ่ายงบรายจ่ายนี้ ตามรายการและวงเงินที่ได้รับจัดสรรงบประมาณ หรือการโอนและหรือเปลี่ยนแปลงรายการงบประมาณรายจ่าย ทั้งนี้ให้ปฏิบัติตามหลักเกณฑ์และเงื่อนไขที่กำหนดไว้ในแผนปฏิบัติงานและแผนการใช้จ่ายงบประมาณด้วย,2
9,รายการประเภทใดในงบดำเนินงานไม่สามารถนำไปถัวจ่ายได้ หากหน่วยมีหนี้ค่าสาธารณูปโภคค้างชำระ,1.ค่าตอบแทน,2ค่าใช้สอย,3ค่าวัสดุ,4ค่าสาธารณูปโภค,4
10,หัวหน้าส่วนราชการมีอำนาจโอนและหรือการเปลี่ยนแปลงรายการงบประมาณรายจ่ายที่ได้รับการจัดสรรงบประมาณในงบรายจ่ายใดๆภายใต้แผนงานเดียวกัน ยกเว้นงบรายจ่ายใด,1งบรายจ่ายอื่น,2งบเงินอุดหนุน,3งบบุคลากร,4งบดำเนินงาน,3
