1,ข่าวกรองแบ่งออกเป็น 3 ประเภทได้แก่อะไรบ้าง,1ข่าวกรองแห่งชาติ ข่าวกรองสืบสวน และข่าวกรองประเภทอื่น ๆ,2ข่าวกรองสืบสวน ข่าวกรองสอบสวน และข่าวกรองทางทหาร,3ข่าวกรองแห่งชาติ ข่าวกรองทางทหาร และข่าวกรองประเภทอื่น ๆ,4ข่าวกรองสอบสวน ข่าวกรองทางทหาร และข่าวกรองสืบสวน,4
2,ข่าวกรองแห่งชาติ ประกอบไปด้วยข่าวกรองใดบ้าง,1ข่าวกรองกิจการภายใน,2ข่าวกรองการรักษาความปลอดภัย,3ข่าวกรองการต่างประเทศ,4ถูกทุกข้อ,4
3,ข้อใดไม่ใช่ข่าวกรองกิจการภายใน,1การบริหารงบประมาณแผ่นดิน,2แนวทางการจัดสรรงบประมาณรายจังหวัด,3การก่อการร้ายข้ามชาติ,4การจัดสรรกำลังสามจังหวัดชายแดนใต้,4
4,ข่าวกรองการรักษาความปลอดภัยในบทบาทหน้าที่ของตำรวจขึ้นกับหน่วยงานใด,1ศูนย์ข่าวกรอง สำนักงานตำรวจแห่งชาติ,2กองบัญชาการตำรวจสันติบาล,3กองบัญชาการตำรวจนครบาล,4กองบัญชาการตำรวจตระเวนชายแดน,2
5,การปราบปรามการก่อความไม่สงบ ใช้ข่าวกรองประเภทใด,1ข่าวกรองเพื่อความมั่นคง,2ข่าวกรองภาพถ่าย,3ข่าวกรองทำเนียบกำลังรบ,4ข่าวกรองเป้าหมาย,1
6,การป้องกันและการต่อต้านข่าว คืออะไร,1การป้องกันการเข้าถึงและตอบโต้ข่าวกรอง,2การปฏิบัติการเพื่อกีดกันหรือขัดขวางมิให้ฝ่ายตรงข้ามได้ข่าวเกี่ยวกับฝ่ายเรา,3การป้องกันการเข้าถึงข่าวของฝ่ายเรา,4การปฏิบัติการเพื่อกีดกั้นการเข้าถึงข้อมูลเอกสาร,2
7,จุดล่อแหลมในการดำเนินการต่างๆ ถือเป็นข่าวกรองประเภทใด,1ข่าวกรองทางยุทธศาสตร์,2ข่าวกรองทางยุทธวิธี,3ข่าวกรองสืบสวน,4ข้อ ก และ ข ถูกต้อง,2
8,ผู้บังคับบัญชามีความมุ่งหมายของข่าวเพื่อประโยชน์ด้านใด,1ช่วยในการประสานงานกับหน่วยงานข้างเคียง,2ช่วยตกลงใจในการกำหนดกระบวนการระวังป้องกัน,3ช่วยสร้างความสัมพันธ์ภายในองค์กร,4ช่วยในการออกแผนงานประจำปี,2
9,สถานการณ์ใดต่อไปนี้ ควรใช้กระบวนการข่าวกรองเต็มรูปแบบ,1นายกรัฐมนตรีเดินทางไปเปิดอาคาร,2ผู้นำต่างประเทศเดินทางเยือนประเทศไทย,3กลุ่มผู้ชุมนุมประท้วงหน้าโรงงาน,4เส้นทางที่นักการเมืองเดินทางไปรัฐสภา,2
10,สถานการณ์ใดต่อไปนี้ ควรใช้กระบวนการข่าวกรองทางทหาร,1การถูกลอบทำร้ายของนักการเมืองท้องถิ่น,2การลักลอบฟอกเงินระดับภูมิภาค,3เหตุการณ์วางเพลิงโรงเรียน,4เหตุการณ์ชายแดนกรณีพิพาทเขาพระวิหาร,4
