1,ระเบียบสำนักนายกรัฐมนตรี ว่าด้วยการรักษาความปลอดภัยแห่งชาติ ปัจจุบันใช้ฉบับที่เท่าไร พ.ศ.อะไร,1ฉบับที่ 1 พ.ศ. 2552,2ฉบับที่ 2 พ.ศ. 2552,3ฉบับที่ 1 พ.ศ. 2554,4ฉบับที่ 2 พ.ศ. 2554,2
2,ระเบียบสำนักนายกรัฐมนตรี ว่าด้วยการรักษาความปลอดภัยแห่งชาติ พ.ศ. 2552 ให้ใช้บังคับเมื่อพ้นกำหนดกี่วันนับแต่วันประกาศในราชกิจจานุเบกษา,160 วัน,290 วัน,3120 วัน,4180 วัน,3
3,ก่อนจะใช้ระเบียบสำนักนายกรัฐมนตรี ว่าด้วยการรักษาความปลอดภัยแห่งชาติ พ.ศ. 2552 ให้ยกเลิกระเบียบใด,1ระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติ พ.ศ. 2517,2ระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติ พ.ศ. 2519,3ระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติ พ.ศ. 2522,4ระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติ พ.ศ. 2535,3
4,มาตรการและการดำเนินการที่กำหนดขึ้นเพื่อพิทักษ์รักษาและคุ้มครองป้องกันสิ่งที่เป็นความลับ ของราชการ ตลอดจนหน่วยงานของรัฐเจ้าหน้าที่ของรัฐ และทรัพย์สินมีค่าของแผ่นดิน ให้พ้นจากการรั่วไหลของการจารกรรม เป็นความหมายข้อใด,1สิ่งที่เป็นความลับของทางราชการ,2การรักษาความปลอดภัยแห่งชาติ,3ประมวลความลับ,4การป้องกันรั่วไหล,1
5,ข้อใดไม่ใช่ชั้นความลับตามระเบียบว่าด้วยการรักษาความลับของทางราชการ พ.ศ. 2544,1ชั้นปกปิด,2ชั้นลับ,3ชั้นลับมาก,4ชั้นลับที่สุด,1
6,ระเบียบว่าด้วยการรักษาความลับของทางราชการ พ.ศ. 2544 มีการทบทวนการปฏิบัติทุกกี่ปี,1ทุก 3 ปีเป็นอย่างน้อย,2ทุก 5 ปีเป็นอย่างน้อย,3ทุก 6 ปีเป็นอย่างน้อย,4ทุก 10 ปีเป็นอย่างน้อย,2
7,การทบทวนการปฏิบัติตามระเบียบว่าด้วยการรักษาความลับของทางราชการ พ.ศ. 2544 กำหนดให้มีใดเป็นผู้จัดให้มีการทบทวน,1นายกรัฐมนตรี,2หัวหน้าส่วนราชการ,3นายทะเบียนข้อมูลข่าวสารลับ,4หัวหน้าข้อมูลข่าวสารลับ,1
8,“ประโยชน์แห่งรัฐ” หมายความว่าอย่างไร,1การดำเนินงานของรัฐที่เกี่ยวกับประโยชน์สาธารณะ,2การดำเนินงานของรัฐที่เกี่ยวกับประโยชน์ของเอกชน,3การดำเนินงานของรัฐที่เกี่ยวกับประโยชน์สาธารณะหรือประโยชน์ของเอกชนประกอบกัน,4ไม่มีข้อใดถูกต้อง,1
9,“หัวหน้าหน่วยงานของรัฐ” หมายความถึงบุคคลในข้อใด,1หัวหน้าส่วนราชการที่มีฐานะเป็นนิติบุคคล สำหรับส่วนราชการในสังกัดกระทรวง,2ผู้ว่าราชการจังหวัด สำหรับราชการส่วนภูมิภาค,3ผู้บริหารกิจการของรัฐวิสาหกิจหรือหน่วยงานอื่นของรัฐ สำหรับงานของรัฐวิสาหกิจ,4ถูกทุกข้อ,4
10,สำนักข่าวกรองแห่งชาติ สำนักนายกรัฐมนตรี เป็นองค์การรักษาความปลอดภัยฝ่ายใด,1ฝ่ายพลเรือน,2ฝ่ายความมั่นคง,3ฝ่ายความปลอดภัย,4ฝ่ายทหาร,1
11,ระเบียบสำนักนายกรัฐมนตรี ว่าด้วยการรักษาความปลอดภัยแห่งชาติ ฉบับที่ 2 กำหนดให้ใครเป็นประธาน,1รัฐมนตรีประจำสำนักนายกรัฐมนตรี,2รัฐมนตรีที่นายกรัฐมนตรีมอบหมาย,3รัฐมนตรีว่าการกระทรวงมหาดไทย,4ไม่มีข้อใดถูกต้อง,2
12,ผู้บัญชาการกองบัญชาการตำรวจสันติบาล คือตำแหน่งใดในระเบียบสำนักนายกรัฐมนตรี ว่าด้วยการรักษาความปลอดภัยแห่งชาติ ฉบับที่ 2,1กรรมการ,2เลขานุการ,3กรรมการและเลขานุการ,4กรรมการและผู้ช่วยเลขานุการ,3
13,"""การนําตัวอักษร ตัวเลข คําพูด สัญญาณ สัญลักษณ์มาใช้แทน
ความหมายอันแท้จริงตามที่ตกลงกันไว้เพื่อรักษาความลับในการส่งข่าวหรือติดต่อสื่อสารระหว่างกัน""  หมายถึงข้อใด",1ประมวลลับ,2การรหัส,3การจารกรรม,4การข่าวกรอง,2
14,"""การกระทำที่มุ่งก่อให้เกิดความแตกแยก ความปั่นป่วน"" คือข้อใด",1การจารกรรม,2การบ่อนทำลาย,3การก่อการร้าย,4การต่อต้านการก่อการร้าย,2
15,สำนักข่าวกรองแห่งชาติ สังกัดหน่วยงานใด,1สำนักนายกรัฐมนตรี,2องค์การมหาชน,3กระทรวงมหาดไทย,4สภาความมั่นคงแห่งชาติ,1
16,มาตรฐานรักษาความปลอดภัยหน่วยงานของรัฐฝ่ายพลเรือน  จัดทำขึ้นโดยหน่วยงานใด,1สำนักนายกรัฐมนตรี,2สำนักข่าวกรองแห่งชาติ,3กระทรวงการคลัง,4กระทรวงมหาดไทย,2
17,พ.ร.บ.ข่าวกรองแห่งชาติ  ที่ใช้อยู่ในปัจจุบัน พ.ศ.ใด,1พ.ศ.2530,2พ.ศ.2528,3พ.ศ.2550,4พ.ศ.2554,2
18,ผู้ซึ่งปฏิบัติงานให้แก่หน่วยงานของรัฐ ตาม พ.ร.บ.ข้อมูลข่าวสารของราชการ หมายถึงข้อใด,1หน่วยงานของรัฐ,2เจ้าหน้าที่ของรัฐ,3เจ้าพนักงาน,4ผู้มีอำนาจตามกฎหมาย,3
19,พ.ร.บ.ข้อมูลข่าวสารของราชการ พ.ศ.2540 กำหนดไว้กี่มาตรา,1จำนวน 23 มาตรา,2จำนวน 36 มาตรา,3จำนวน 43 มาตรา,4จำนวน 52 มาตรา,3
20,ระเบียบว่าด้วยการรักษาความลับของทางราชการ พ.ศ. 2544 กำหนดให้ใครทำหน้าที่บันทึกการยืม,1อธิบดี,2นายทะเบียบข้อมูลข่าวสารลับ,3หัวหน้าหน่วยราชการเท่านั้น,4หัวหน้าข้อมูลข่าวสารลับ,2
21,ข้อใดไม่ใช่ส่วนหนึ่งของนิยามการรักษาความปลอดภัยแห่งชาติ,1การก่อวินาศกรรม,2การก่อการ้าย,3การบ่อนทำลาย,4การจลาจล,4
22,ข้อใดไม่ใช่ส่วนหนึ่งของสิ่งที่เป็นความลับของทางราชการ,1ข้อมูลข่าวสาร,2ที่ปลอดภัย,3บริภัณฑ์,4ยุทธภัณฑ์,2
23,ข้อใดไม่ใช้ส่วนหนึ่งของบริภัณฑ์,1เครื่องจักร,2เครื่องมือ,3อาวุธ,4เครื่องกล,3
24,ยุทธภัณฑ์หมายความถึงข้อใด,1อาวุธ,2เครื่องจักร,3เครื่องมือ,4เครื่องกล,1
25,ที่ใดต่อไปนี้ไม่ใช่ที่สงวน,1ฐานทัพ,2สถานีวิทยุ,3ชุมทางรถไฟ,4สถานศึกษา,4
26,ประมวลลับหมายความถึงสิ่งใด,"1การนําตัวอักษร ตัวเลข คําพูด สัญญาณ สัญลักษณ์มาใช้แทน
ความหมายอันแท้จริง",2การประมวลเอกสารลับของทางราชการ,3การส่งเอกสารในทางลับโดยการใช้ข้อความทั่วไป,4การประมวลข้อมูลลับด้วยสัญลักษณ์,1
27,การกระทําใด ๆ โดยทางลับเพื่อให้ล่วงรู้หรือได้ไปซึ่งสิ่งที่เป็นความลับของทางราชการให้แก่ผู้ไม่มีอํานาจหน้าที่ ถือเป็นกระทำในข้อใด,1การขโมย,2การลักลอบถอดรหัส,3การจารกรรม,4การก่อจลาจล,3
28,การกระทําใด ๆ เพื่อทําลาย ทําความเสียหายต่อทรัพย์สิน วัสดุ ข้อมูลข่าวสาร อาคาร สถานที่ ยุทธปัจจัย ที่สงวน สาธารณูปโภค และสิ่งอํานวยความสะดวก หมายถึงข้อใด,1การจารกรรม,2การก่อการ้าย,3การก่อวินาศกรรม,4การก่อจลาจล,3
29,ชั้นความลับของทางราชการตามระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติมีกี่ชั้น,1 2ชั้น,2 3 ชั้น,3 4 ชั้น,4 5 ชั้น,2
30,การสร้างความปั่นปวนให้ประชาชนเกิดความหวาดกลัว หรือเพื่อขู่เข็ญหรือบีบบังคับรัฐบาล หมายถึงข้อใด,1การก่อการร้าย,2การจารกรรม,3การก่อจลาจล,4การบ่อนทำลาย,1
31,"""องค์การรักษาความปลอดภัย"" ตามระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติในส่วนของสำนักงานตำรวจแห่งชาติคือกองบัญชาการใด",1กองบัญชาการตำรวจนครบาล,2กองบัญชาการตำรวจสันติบาล,3กองบัญชาการตำรวจตระเวนชายแดน,4กองบัญชาการตำรวจสอบสวนกลาง,2
32,ข้อใดไม่ใช่ องค์การรักษาความปลอดภัย ตามระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติ,1กองบัญชาการกองทัพไทย,2สำนักข่าวกรองแห่งชาติ,3กองบัญชาการตำรวจนครบาล,4กองบัญชาการตำรวจสันติบาล,3
33,การรักษาความปลอดภัยที่เกี่ยวข้องกับข้อมูลข่าวสาร ต้องยึดถือระเบียบใดบ้าง,1ระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติ,2ระเบียบว่าด้วยการรักษาความลับของทางราชการ,3ระเบียบว่าด้วยการรักษาข้อมูลข่าวสาร,4ถูกเฉพาะข้อ 1 และ 2,4
34,กองบัญชาการตํารวจสันติบาล สํานักงานตํารวจแห่งชาติ เป็นองค์กรรักษาความปลอดภัยฝ่ายใด,1ฝ่ายตํารวจ,2ฝ่ายข่าวกรอง,3ฝ่ายพลเรือน,4ฝ่ายประสานการข่าว,1
35,ข้อใดไม่ใช่หน่วยในองค์การรักษาความปลอดภัย,1ฝ่ายพลเรือน,2ฝ่ายทหาร,3ฝ่ายตำรวจ,4ฝ่ายบริหาร,4
36,ระเบียบว่าด้วยการรักษาความปลอดภัยแห่งชาติ อาจถูกปรับเปลี่ยนได้โดยอำนาจของผู้ใด,1รัฐมนตรีประจำสำนักนายกรัฐมนตรี,2นายกรัฐมนตรี,3รัฐมนตรีว่าการกระทรวงมหาดไทย,4ผู้อำนวยการสำนักงานข่าวกรองแห่งชาติ,2
37,"""กรช"" หมายถึงหน่วยงานใด",1กรรมการรักษาความปลอดภัยแห่งชาติ,2คณะกรรมการนโยบายรักษาความปลอดภัยแห่งชาติ,3คณะกรรมการรักษาความปลอดภัยระดับชาติ,4กรรมการนโยบายรักษาความปลอดภัยระดับชาติ,2
38,"ประธานกรรมการ ""กรช"" คือผู้ใด",1รัฐมนตรีที่นายกรัฐมนตรีมอบหมาย,2ผู้อำนวยการสำนักงานข่าวกรองแห่งชาติ,3รัฐมนตรีว่าการกระทรวงมหาดไทย,4รัฐมนตรีว่าการกระทรวงกลาโหม,1
39,การตรวจสอบประวัติและพฤติการณ์บุคคลให้ใช้กับบุคคลใด,1ผู้ที่อยู่ระหว่างรอบรรจุหรือแต่งตั้งเป็นเจ้าหน้าที่ของรัฐ,2ผู้ที่อยู่ในตำแหน่งหน้าที่ปัจจุบัน,3ผู้ที่มาดำรงตำแหน่งหน้าที่ใหม่ทุกราย,4ผู้ที่กระทำความผิดระหว่างปฏิบัติราชการ,1
40,การรักษาความปลอดภัยเกี่ยวกับสถานที่ต้องปฏิบัติตามข้อใดบ้าง,1จัดทําแผนการรักษาความปลอดภัยเกี่ยวกับสถานที่,2กําหนดมาตรการการรักษาความปลอดภัยเกี่ยวกับสถานที่,3ดําเนินการสํารวจและตรวจสอบการรักษาความปลอดภัยเกี่ยวกับสถานที่,4ถูกทุกข้อ,4
