1,งานการประชาสัมพันธ์ตรงกับภาษาอังกฤษว่าอะไร,1Public Relation,2Public Relations,3Public Information,4Public Opinion,2
2,แนวคิดของการดำเนินงานประชาสัมพันธ์ตรงกับข้อใด,1การดำเนินงานของบริษัทที่สนับสนุนให้เปิดเผยแพร่ข้อมูลข่าวสารเฉพาะพนักงานเท่านั้น,2การดำเนินงานของบริษัทในลักษณะเปิดเผย ตรงไปตรงมา โปร่งใสต่อสาธารณชน,3การดำเนินงานของบริษัทที่จะต้องปกปิดสิ่งที่ไม่ดีขององค์กร และเผยแพร่เฉพาะด้านดีเท่านั้น,4การดำเนินงานของบริษัทจะต้องเผยแพร่ผ่านสื่อมวลชนเท่านั้นจึงจะได้ผลดีที่สุด,2
3,กระบวนการดำเนินงานประชาสัมพันธ์ประกอบด้วยขั้นตอนดังต่อไปนี้ ยกเว้นข้อใด,1การวิจัยรับฟังความคิดเห็น และการวางแผนงานประชาสัมพันธ์,2การติดต่อสื่อสาร,3การประเมินผล,4การนำเสนองานประชาสัมพันธ์,4
4,การตรวจสอบสภาพและสถานการณ์ขององค์กรเพื่อดำเนินงานประชาสัมพันธ์ทุกครั้ง ตรงกับขั้นตอนใดของกระบวนการดำเนินงานประชาสัมพันธ์,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),4
5,การพิจารณาตรวจสอบเลือกเครื่องมือเพื่อการประชาสัมพันธ์ และกลยุทธ์ทางการสื่อสารเพื่อให้การดำเนินงานประชาสัมพันธ์ประสบความสำเร็จตามเป้าหมาย ตรงกับขั้นตอนใดของกระบวนการดำเนินงานประชาสัมพันธ์,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),3
6,การมอบหมายให้ผู้เกี่ยวข้องสำรวจความคิดเห็นของเพื่อนพนักงานภายในรีสอร์ทถึงการออกนโยบายเพิ่มวันหยุดพิเศษให้กับพนักงาน ตรงกับขั้นตอนใดของกระบวนการดำเนินงานประชาสัมพันธ์,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),1
7,ความต้องการประชาสัมพันธ์รีสอร์ทให้นักท่องเที่ยวรู้จักมากขึ้น โดยพิจารณาทีมงานและวัสดุอุปกรณ์ก่อนประชาสัมพันธ์ ถือเป็นกระบวนการประชาสัมพันธ์ในข้อใด,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),2
8,ขั้นตอนแรกของการดำเนินงานประชาสัมพันธ์คือข้อใด,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),1
9,ในด้านการประชาสัมพันธ์ R-A-C-E หมายถึงอะไร,1ความหมายของการประชาสัมพันธ์,2วิธีการประชาสัมพันธ์,3หลักการประชาสัมพันธ์,4กระบวนการดำเนินงานประชาสัมพันธ์,4
10,ข้อใดตรงกับการสื่อสารแบบยุคลวิถี,1การสื่อสารทางเดียว,2การสื่อสารสองทาง,3การสื่อสารมวลชน,4การสื่อสารขององค์กร,2
11,ข้อใดไม่ใช่ลักษณะสำคัญของการประชาสัมพันธ์,1มีการวางแผนการประชาสัมพันธ์,2มีความต่อเนื่องในการดำเนินงาน เพื่อหวังผลระยะสั้น ,3มีความต่อเนื่องในการดำเนินงาน เพื่อหวังผลระยะยาว,4มีอิทธิพลต่อความคิดและการกระทำของกลุ่มเป้าหมาย,2
12,กลุ่มเป้าหมายภายในองค์กรสำหรับการประชาสัมพันธ์ แบ่งเป็นกี่กลุ่ม อะไรบ้าง,12 กลุ่ม คือ กลุ่มพนักงาน และกลุ่มผู้บริหาร,22 กลุ่ม คือ กลุ่มปฏิบัติการ และกลุ่มอำนวยการ ,33 กลุ่ม คือ กลุ่มพนักงาน กลุ่มผู้ถือหุ้น และกลุ่มผู้บริหาร,43 กลุ่ม คือ กลุ่มปฏิบัติการ กลุ่มอำนวยการ และกลุ่มผู้บริหาร,1
13,ข้อใดไม่ใช่กลุ่มเป้าหมายภายนอกองค์กรสำหรับการประชาสัมพันธ์ ,1กลุ่มลูกค้าและผู้บริโภค,2กลุ่มผู้แทนจำหน่าย,3กลุ่มสื่อมวลชน,4กลุ่มพนักงาน,4
14,ข้อใดจัดเป็นคุณสมบัติที่สำคัญที่สุดของนักประชาสัมพันธ์ ,1มนุษย์สัมพันธ์ดี,2บุคลิกลักษณะดี,3การสื่อสารดี,4รู้ข้อมูลข่าวสารดี,3
15,ข้อใดไม่ถูกต้องเกี่ยวกับการประชาสัมพันธ์ ,1ในปัจจุบันการประชาสัมพันธ์เป็นเครื่องมือสื่อสารการตลาดที่ได้รับความนิยม,2ในอดีตการประชาสัมพันธ์มีลักษณะเป็นการสื่อสารสองทาง,3ในปัจจุบันการประชาสัมพันธ์มีลักษณะเป็นการสื่อสารแบบยุคลวิถี,4การประชาสัมพันธ์เป็นเครื่องมือหลักของการสื่อสารภาพลักษณ์องค์กร,4
16,ข้อใดไม่ใช่รูปแบบของการวางแผนประชาสัมพันธ์โดยทั่วไป ,1การวางแผนประชาสัมพันธ์ล่วงหน้า,2การวางแผนประชาสัมพันธ์เชิงรุก,3การวางแผนประชาสัมพันธ์เชิงรับ,4การวางแผนประชาสัมพันธ์แบบผสม,4
17,ขั้นตอนสุดท้ายของการดำเนินงานประชาสัมพันธ์คือข้อใด,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),4
18,คำภาษาอังกฤษว่า “Pro-active PR” เกี่ยวข้องกับอะไรมากที่สุด,1การวิจัย,2การวางแผนประชาสัมพันธ์,3การติดต่อสื่อสาร,4การประเมินผล,2
19,คำภาษาอังกฤษว่า “Re-active PR” เกี่ยวข้องกับอะไรมากที่สุด,1การวิจัย,2การวางแผนประชาสัมพันธ์,3การติดต่อสื่อสาร,4การประเมินผล,2
20,ข้อใดไม่ถูกต้องเกี่ยวกับลักษณะของการประชาสัมพันธ์ในปัจจุบัน,1เป็นการสื่อสารแบบยุคลวิถี,2เป็นการสื่อสารทางเดียว,3เป็นการสื่อสารสองทาง,4เน้นการสร้างความสัมพันธ์อันดีระหว่างองค์กรกับประชาชน,2
21,การประชาสัมพันธ์เมื่อแปลให้ตรงตามตัวอักษร จะหมายถึงอะไร ,1การเกี่ยวข้องสัมพันธ์กับหมู่คน ,2ความสัมพันธ์กับประชาชน,3ความผูกพันกับหมู่คน,4ความปรองดองกับประชาชน ,1
22,ข้อใดเป็นลักษณะสำคัญของการประชาสัมพันธ์ที่มีการเผยแพร่ความคิดเห็นและข่าวสารจากองค์กรของรัฐและเอกชนไปสู่กลุ่มต่างๆ  ,1มีการวางแผนการประชาสัมพันธ์,2มีความต่อเนื่องในการดำเนินงาน เพื่อหวังผลระยะสั้น ,3มีความต่อเนื่องในการดำเนินงาน เพื่อหวังผลระยะยาว,4มีอิทธิพลต่อความคิดและการกระทำของกลุ่มเป้าหมาย,4
23,ข้อใดจัดเป็นกระบวนการดำเนินงานประชาสัมพันธ์ที่เป็นขั้นตอนของการปฏิบัติตามแผนงานที่ได้กำหนดไว้ โดยการใช้สื่อและกิจกรรมต่างๆ นำพาข่าวสารขององค์กรไปสู่ประชาชนกลุ่มเป้าหมาย  ,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),3
24,ข้อใดจัดเป็นกระบวนการดำเนินงานประชาสัมพันธ์เพื่อตรวจสอบประสิทธิผลของแผนงานว่าตรงตามวัตถุประสงค์ของการประชาชนสัมพันธ์ในแต่ละครั้งหรือไม่  ,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),4
25,ข้อใดจัดเป็นกระบวนการดำเนินงานประชาสัมพันธ์เพื่อค้นคว้าศึกษาข้อมูลที่ต้องการหรือข้อเท็จจริงเกี่ยวกับสภาพปัญหา และเพื่อเป็นประโยชน์ต่อการวางแผนในการสื่อสารให้ประชาชนกลุ่มเป้าหมายได้รับทราบและเข้าใจต่อไป,1การวิจัย (Research),2การวางแผนปฏิบัติการ (Action),3การติดต่อสื่อสาร (Communication),4การประเมินผล (Evaluation),1
