1,สื่อประชาสัมพันธ์ หมายถึงอะไร,1ช่องทางการติดต่อสื่อสารที่จะนำข่าวสารไปสู่กลุ่มเป้าหมาย,2ความสัมพันธ์ของนักประชาสัมพันธ์ที่มีต่อสื่อมวลชน,3การสร้างความสัมพันธ์กับชุมชนในละแวกใกล้เคียง,4การสร้างความร่วมมือในการทำกิจกรรมอย่างใดอย่างหนึ่ง,1
2,สื่อมวลชนสัมพันธ์ หมายถึงอะไร,1ช่องทางการติดต่อสื่อสารที่จะนำข่าวสารไปสู่กลุ่มเป้าหมาย,2ความสัมพันธ์ของนักประชาสัมพันธ์ที่มีต่อสื่อมวลชน,3การสร้างความสัมพันธ์กับชุมชนในละแวกใกล้เคียง,4การสร้างความร่วมมือในการทำกิจกรรมอย่างใดอย่างหนึ่ง,2
3,ชุมชนสัมพันธ์ หมายถึงอะไร,1ช่องทางการติดต่อสื่อสารที่จะนำข่าวสารไปสู่กลุ่มเป้าหมาย,2ความสัมพันธ์ของนักประชาสัมพันธ์ที่มีต่อสื่อมวลชน,3การสร้างความสัมพันธ์กับชุมชนในละแวกใกล้เคียง,4การสร้างความร่วมมือในการทำกิจกรรมอย่างใดอย่างหนึ่ง,3
4,กลยุทธ์การประชาสมพันธ์ หมายถึงอะไร,1ช่องทางการติดต่อสื่อสารที่จะนำข่าวสารไปสู่กลุ่มเป้าหมาย,2ความสัมพันธ์ของนักประชาสัมพันธ์ที่มีต่อสื่อมวลชน,3การสร้างความสัมพันธ์กับชุมชนในละแวกใกล้เคียง,4การสร้างความร่วมมือในการทำกิจกรรมอย่างใดอย่างหนึ่ง,4
5,สื่อประชาสัมพันธ์แบ่งออกเป็นกี่ประเภท อะไรบ้าง,12 ประเภท ได้แก่ สื่อวิทยุโทรทัศน์ และสื่อสิ่งพิมพ์,22 ประเภท ได้แก่ สื่อที่ควบคุมได้ และสื่อที่ควบคุมไม่ได้,33 ประเภท ได้แก่ สื่อวิทยุโทรทัศน์ สื่อสิ่งพิมพ์ และสื่ออื่นๆ,43 ประเภท ได้แก่ สื่อที่ควบคุมได้ สื่อที่ควบคุมไม่ได้ และสื่ออื่นๆ,2
6,การจัดกิจกรรมประชาสัมพันธ์หรือกิจกรรมพิเศษ ควรยึดหลักใด,1เข้าใจ ยอมรับ คล้อยตาม,2แปลกใหม่ ยิ่งใหญ่ โดนใจ,3แปลก ใหม่ โดนใจ,4แปลก ใหม่ ใหญ่ ดัง,4
7,การบริการสังคมหรือการจัดกิจกรรมสาธารณะ ตรงกับ กิจกรรมประเภทใดมากที่สุด,1กิจกรรมพิเศษ,2สื่อมวลชนสัมพันธ์,3ชุมชนสัมพันธ์,4การตำรวจชุมชน,1
8,การทำข่าวแจก การทำภาพข่าว การทำบทความ ตรงกับ ลักษณะของการดำเนินงานในข้อใดมากที่สุด,1กิจกรรมพิเศษ,2สื่อมวลชนสัมพันธ์,3ชุมชนสัมพันธ์,4การตำรวจชุมชน,2
9,การจัดทุนการศึกษาแก่คนในชุมชน ตรงกับ ลักษณะของการดำเนินงานในข้อใดมากที่สุด,1กิจกรรมพิเศษ,2สื่อมวลชนสัมพันธ์,3ชุมชนสัมพันธ์,4ถูกทุกข้อ,3
10,สื่อมวลชนประเภทต่างๆ ถือเป็นสื่อประชาสัมพันธ์ชนิดใด,1สื่อที่ควบคุมได้,2สื่อที่ควบคุมไม่ได้,3เป็นไปได้ทั้งสื่อที่ควบคุมได้และควบคุมไม่ได้,4สื่อชนิดอื่นๆ,2
11,ใบปลิวจัดเป็นสื่อประชาสัมพันธ์ชนิดใด,1สื่อที่ควบคุมได้,2สื่อที่ควบคุมไม่ได้,3เป็นไปได้ทั้งสื่อที่ควบคุมได้และควบคุมไม่ได้,4สื่อชนิดอื่นๆ,1
12,โปสเตอร์ติดผนังจัดเป็นสื่อประชาสัมพันธ์ชนิดใด,1สื่อที่ควบคุมได้,2สื่อที่ควบคุมไม่ได้,3เป็นไปได้ทั้งสื่อที่ควบคุมได้และควบคุมไม่ได้,4สื่อชนิดอื่นๆ,1
13,หนังสือพิมพ์จัดเป็นสื่อประชาสัมพันธ์ชนิดใด,1สื่อที่ควบคุมได้,2สื่อที่ควบคุมไม่ได้,3เป็นไปได้ทั้งสื่อที่ควบคุมได้และควบคุมไม่ได้,4สื่อชนิดอื่นๆ,2
14,นิตยสารจัดเป็นสื่อประชาสัมพันธ์ชนิดใด,1สื่อที่ควบคุมได้,2สื่อที่ควบคุมไม่ได้,3เป็นไปได้ทั้งสื่อที่ควบคุมได้และควบคุมไม่ได้,4สื่อชนิดอื่นๆ,2
15,ข้อใดไม่ใช่ประเภทของการจัดกิจกรรมพิเศษ,1การจัดประกวด,2การสรุปผลการดำเนินการ,3การจัดสัมมนา ,4การจัดงานฉลอง,2
16,ข้อใดไม่ใช่ข้อพึงปฏิบัติของการจัดกิจกรรมพิเศษ,1ลักษณะของงานควรมีความเกี่ยวข้องกับองค์กร,2มีข้อเสนอพิเศษเพื่อช่วยในการส่งเสริมการขาย,3ควรประชาสัมพันธ์เฉพาะก่อนจัดงาน,4ซื้อสื่อเพื่อประชาสัมพันธ์กิจกรรมขององค์กร,4
17,ข้อใดไม่ถูกต้องเกี่ยวกับการใช้สื่อและกิจกรรมเพื่อการประชาสัมพันธ์,1ควรมีการตอกย้ำหรือทำซ้ำบ่อยๆ เพื่อช่วยให้เกิดความน่าสนใจมากขึ้น,2การตอกย้ำหรือทำซ้ำบ่อยๆ หากทำต่อเนื่องเป็นเวลานาน อาจทำให้ผู้รับชมหรือรับฟังเบื่อหน่ายได้,3ควรให้โอกาสผู้รับชมหรือรับฟังมีส่วนร่วม เพื่อดึงดูดความสนใจ,4ควรทำให้สื่อและกิจกรรมประชาสัมพันธ์มีความหลากหลาย แต่ไม่ควรทำต่อเนื่อง,4
18,ข้อใดไม่ถูกต้องเกี่ยวกับสื่อมวลชนสัมพันธ์,1การทำแฟ้มคู่มือเป็นรายละเอียดที่ให้ข่าวสารแก่สื่อมวลชนได้ดีกว่าการแจกภาพข่าว,2การประเมินผลงานของนักประชาสัมพันธ์วัดได้จากผลของสื่อที่เผยแพร่,3สื่อมวลชนสัมพันธ์คือความสัมพันธ์ของสื่อมวลชนที่มีต่อประชาชน,4การสร้างความสัมพันธ์กับสื่อเริ่มต้นจากการศึกษาและรวบรวมฐานข้อมูลของสื่อทุกประเภท,3
19,ข้อใดไม่ถูกต้องเกี่ยวกับสื่อและกิจกรรมประชาสัมพันธ์,1สื่อประชาสัมพันธ์ หมายถึง ช่องทางการสื่อสารที่จะนำข่าวสารไปสู่กลุ่มเป้าหมาย,2สื่อประชาสัมพันธ์ เป็นเครื่องมือที่ใช้ในการกระจายข้อมูลข่าวสารที่ก่อให้เกิดความรู้ความเข้าใจ,3นักประชาสัมพันธ์สามารถนำกิจกรรมประชาสัมพันธ์เผยแพร่ผ่านสื่อมวลชนได้ทุกแขนง,4การวางแผนในการใช้สื่อเพื่อการประชาสัมพันธ์เป็นขั้นตอนแรกของกระบวนการประชาสัมพันธ์,4
20,กิจกรรมพิเศษในรูปแบบการจัดงาน Contest ตรงกับข้อใดมากที่สุด,1การจัดประกวด,2การจัดการแข่งขัน,3การจัดรายการบันเทิง,4การจัดงานเปิดตัวสินค้า,1
21,กิจกรรมพิเศษในรูปแบบการจัดงาน Competition ตรงกับข้อใดมากที่สุด,1การจัดประกวด,2การจัดการแข่งขัน,3การจัดรายการบันเทิง,4การจัดงานเปิดตัวสินค้า,2
22,กิจกรรมพิเศษในรูปแบบการจัดงาน Entertainment ตรงกับข้อใดมากที่สุด,1การจัดประกวด,2การจัดการแข่งขัน,3การจัดรายการบันเทิง,4การจัดงานเปิดตัวสินค้า,3
23,กิจกรรมพิเศษในรูปแบบการจัดงาน Grand Opening ตรงกับข้อใดมากที่สุด,1การจัดประกวด,2การจัดการแข่งขัน,3การจัดรายการบันเทิง,4การจัดงานเปิดตัวสินค้า,4
24,กิจกรรมพิเศษในรูปแบบการจัดงาน Exhibition ตรงกับข้อใดมากที่สุด,1การจัดแสดงนิทรรศการ,2การจัดสัมมนา,3การบริการสังคม,4การจัดงานวันฉลอง,1
25,กิจกรรมพิเศษในรูปแบบการจัดงาน Seminar ตรงกับข้อใดมากที่สุด,1การจัดแสดงนิทรรศการ,2การจัดสัมมนา,3การบริการสังคม,4การจัดงานวันฉลอง,2
26,กิจกรรมพิเศษในรูปแบบการจัดงาน Public Service ตรงกับข้อใดมากที่สุด,1การจัดแสดงนิทรรศการ,2การจัดสัมมนา,3การบริการสังคม,4การจัดงานวันฉลอง,3
