1,กลยุทธ์ CSR คืออะไร,1Corporate Social Responsibility,2Corporate Social Request,3Certificate Signing Responsibility,4Certificate Signing Request,1
2,ข้อใดไม่ใช่ประเภทของ CSR,1CSR-after-process,2CSR-in-process,3CSR-on-process,4CSR-as-process,3
3,กิจกรรมเพื่อสังคม ตรงกับคำภาษาอังกฤษว่าอะไร,1CSR-after-process,2CSR-in-process,3CSR-on-process,4CSR-as-process,1
4,ธุรกิจเพื่อสังคม ตรงกับคำภาษาอังกฤษว่าอะไร,1CSR-after-process,2CSR-in-process,3CSR-on-process,4CSR-as-process,2
5,กิจการเพื่อสังคม ตรงกับคำภาษาอังกฤษว่าอะไร,1CSR-after-process,2CSR-in-process,3CSR-on-process,4CSR-as-process,4
6,องค์กรที่ไม่แสวงหากำไร จัดอยู่ใน CSR ประเภทใด,1CSR-after-process,2CSR-in-process,3CSR-on-process,4CSR-as-process,4
7,ชุดเครื่องมือ PENCILS ใช้สำหรับทำสิ่งใด,1การประชาสัมพันธ์ทั่วไป,2การประชาสัมพันธ์เชิงการตลาด,3การบริหารประเด็นข่าวสาร,4การบริหารสื่อประชาสัมพันธ์,2
8,ตัวอักษร “P” ในชุดเครื่องมือ PENCILS หมายถึงอะไร,1การเผยแพร่ข้อมูลข่าวสารด้วยวิธีต่างๆ,2การจัดเหตุการณ์หรือกิจกรรมพิเศษ,3การนำเสนอข่าวสารผ่านสื่อมวลชน,4การจัดกิจกรรมที่เกี่ยวกับชุมชน,1
9,ตัวอักษร “E” ในชุดเครื่องมือ PENCILS หมายถึงอะไร,1การเผยแพร่ข้อมูลข่าวสารด้วยวิธีต่างๆ,2การจัดเหตุการณ์หรือกิจกรรมพิเศษ,3การนำเสนอข่าวสารผ่านสื่อมวลชน,4การจัดกิจกรรมที่เกี่ยวกับชุมชน,2
10,ตัวอักษร “N” ในชุดเครื่องมือ PENCILS หมายถึงอะไร,1การเผยแพร่ข้อมูลข่าวสารด้วยวิธีต่างๆ,2การจัดเหตุการณ์หรือกิจกรรมพิเศษ,3การนำเสนอข่าวสารผ่านสื่อมวลชน,4การจัดกิจกรรมที่เกี่ยวกับชุมชน,3
11,ตัวอักษร “C” ในชุดเครื่องมือ PENCILS หมายถึงอะไร,1การเผยแพร่ข้อมูลข่าวสารด้วยวิธีต่างๆ,2การจัดเหตุการณ์หรือกิจกรรมพิเศษ,3การนำเสนอข่าวสารผ่านสื่อมวลชน,4การจัดกิจกรรมที่เกี่ยวกับชุมชน,4
12,ตัวอักษร “I” ในชุดเครื่องมือ PENCILS หมายถึงอะไร,1การจัดกิจกรรมที่เกี่ยวกับชุมชน,2การใช้สื่อเฉพาะที่สะท้อนความเป็นเอกลักษณ์ขององค์กร,3กิจกรรมที่ใช้การโน้มน้าวใจ เพื่อจูงใจให้มีการออกกฎระเบียบที่เอื้อต่อการดำเนินธุรกิจ,4กิจกรรมที่แสดงถึงความรับผิดชอบต่อสังคม,2
13,ตัวอักษร L” ในชุดเครื่องมือ PENCILS หมายถึงอะไร,1การจัดกิจกรรมที่เกี่ยวกับชุมชน,2การใช้สื่อเฉพาะที่สะท้อนความเป็นเอกลักษณ์ขององค์กร,3กิจกรรมที่ใช้การโน้มน้าวใจ เพื่อจูงใจให้มีการออกกฎระเบียบที่เอื้อต่อการดำเนินธุรกิจ,4กิจกรรมที่แสดงถึงความรับผิดชอบต่อสังคม,3
14,ตัวอักษร S” ในชุดเครื่องมือ PENCILS หมายถึงอะไร,1การจัดกิจกรรมที่เกี่ยวกับชุมชน,2การใช้สื่อเฉพาะที่สะท้อนความเป็นเอกลักษณ์ขององค์กร,3กิจกรรมที่ใช้การโน้มน้าวใจ เพื่อจูงใจให้มีการออกกฎระเบียบที่เอื้อต่อการดำเนินธุรกิจ,4กิจกรรมที่แสดงถึงความรับผิดชอบต่อสังคม,4
15,ข้อใดหมายถึงการประชาสัมพันธ์เชิงการตลาด ,1CSR,2Issue Management,3MPR,4PENCILS,3
16,กรณีองค์กรบริจาคเงินที่ได้จากการกำไรในกิจการเพื่อช่วยเหลือผู้ประสบภัยน้ำท่วม จัดเป็น CSR ประเภทใด,1CSR-in-process,2CSR-after-process,3CSR-as-process,4Corporate-driven CSR,4
17,กรณีบริษัทเชิญชวนให้ลูกค้าซื้อสินค้าและบริการของบริษัทในช่วงเวลาการรณรงค์ โดยบริจาครายได้จาการขายสินค้าและบริการส่วนหนึ่งให้แก่หน่วยงานที่ช่วยเหลือผู้ประสบภัยน้ำท่วม จัดเป็น CSR ประเภทใด,1CSR-in-process,2CSR-after-process,3CSR-as-process,4Social-driven CSR,4
