1,ภาพลักษณ์ตรงกับคำภาษาอังกฤษว่าอะไร,1Image,2Picture,3Logo,4Figures of speech,1
2,ภาพลักษณ์เกิดจากผลรวมระหว่างสิ่งใด,1ความดีงามกับการประเมินส่วนตัว,2ความดีงามกับการประเมินส่วนรวม,3ข้อเท็จจริงกับการประเมินส่วนตัว,4ข้อเท็จจริงกับการประเมินส่วนรวม,3
3,โดยทั่วไปภาพลักษณ์มักเกิดขึ้นได้ในกี่ลักษณะ อะไรบ้าง,1 ลักษณะ ได้แก่ ภาพลักษณ์ที่เกิดโดยธรรมชาติ และภาพลักษณ์ที่เกิดจากการประเมิน,2 ลักษณะ ได้แก่ ภาพลักษณ์ที่เกิดโดยธรรมชาติ และภาพลักษณ์ที่เกิดจากการปรุงแต่ง,3 ลักษณะ ได้แก่ ภาพลักษณ์ที่เกิดโดยธรรมชาติ ภาพลักษณ์ที่เกิดจากการประเมิน และภาพลักษณ์ที่เกิดจากการปรุงแต่ง,4ลักษณะ ได้แก่ ภาพลักษณ์ที่เกิดโดยธรรมชาติ ภาพลักษณ์ที่เกิดจากการปรุงแต่ง และภาพลักษณ์ที่สร้างสรรค์ได้,2
4,ข้อใดไม่ใช่ประเภทของภาพลักษณ์ในเชิงการประชาสัมพันธ์,1ภาพลักษณ์ของบุคคล,2ภาพลักษณ์ขององค์กร,3ภาพลักษณ์ของสินค้าหรือบริการ,4ภาพลักษณ์ที่มีต่อตราสินค้า,1
5,ข้อใดไม่ใช่ช่วงระยะเวลาของการประชาสัมพันธ์ในภาวะวิกฤต,1ระยะป้องกัน,2ระยะก่อตัว,3ระยะฟื้นฟู,4ระยะประเมิน,4
6,ข้อใดจัดเป็นระยะแรกสุดของการประชาสัมพันธ์ในภาวะวิกฤต,1ระยะป้องกัน,2ระยะก่อตัว,3ระยะฟื้นฟู,4ระยะประเมิน,1
7,ข้อใดจัดเป็นระยะท้ายสุดของการประชาสัมพันธ์ในภาวะวิกฤต,1ระยะป้องกัน,2ระยะก่อตัว,3ระยะฟื้นฟู,4ระยะประเมิน,3
8,ภาพที่สะท้อนถึงการบริหารและการดำเนินงานขององค์กร ทั้งในแง่ระบบการบริหารจัดการ บุคลากร ความรับผิดชอบต่อสังคม และการทำประโยชน์สาธารณะ ตรงกับข้อใด,1ภาพลักษณ์ขององค์กร,2ภาพลักษณ์ของบริษัท,3ภาพลักษณ์ของสถาบัน,4ภาพลักษณ์ของสินค้าหรือบริการ,3
9,ข้อใดไม่ถูกต้องเกี่ยวกับการสร้างภาพลักษณ์,1ภาพลักษณ์เป็นสิ่งที่เกิดขึ้นได้ และเปลี่ยนแปลงได้เสมอ,2การสร้างภาพลักษณ์ที่ดีสามารถทำได้ในระยะเวลาอันรวดเร็วหรือใช้เวลาสั้นๆ,3การประชาสัมพันธ์มีบทบาทเป็นอย่างมากในการเสริมสร้างภาพลักษณ์องค์กร,4การสร้างภาพลักษณ์เป็นสิ่งที่เกิดขึ้นทีละน้อย และสะสมเพิ่มพูนมากขึ้น,2
10,"""การประชาสัมพันธ์ในเชิงรุก เพื่อป้องกันปัญหาต่างๆ ที่อาจเกิดขึ้นได้ด้วยการทำวิจัย...""” จัดเป็นข้อใดของช่วงระยะเวลาในการประชาสัมพันธ์ในภาวะวิกฤต",1ระยะป้องกัน,2ระยะก่อตัว,3ระยะฟื้นฟู,4ระยะประเมิน,1
11,การวางแผนประชาสัมพันธ์เพื่อกำหนดขอบเขตของภาพลักษณ์ที่องค์กรหรือสถาบันต้องการควรเริ่มต้นจากข้อใด ,1การสำรวจตนเอง,2การสำรวจคู่แข่ง,3การสำรวจตลาด,4การสำรวจผู้บริโภค,1
12,ข้อใดไม่ใช่สาเหตุของภาวะวิกฤติที่เกิดขึ้น ,1เกิดจากภัยธรรมชาติ,2เกิดจากความผิดพลาดของบุคลากร,3เกิดจากการก่อการร้าย,4เกิดจากการขาดงบประมาณขององค์กร,4
13,หลังเกิดภาวะวิกฤตแล้ว นักประชาสัมพันธ์ที่ดีควรให้ข้อมูลข่าวสารแก่บุคคลอื่นๆ ภายในเวลาเท่าใด,145 นาที,230 นาที,315 นาที,45 นาที,4
14,ข้อใดไม่ใช่สิ่งที่ต้องหลีกเลี่ยงในการประชาสัมพันธ์ ,1ให้ข้อมูลทั้งหมดอย่างไม่ปิดบัง,2บอกสื่อมวลชนว่า “ห้ามลงข่าว”,3ด่วนปฏิเสธความรับผิด,4โต้แย้งหรือถกเถียงในสิ่งที่ปรากฏชัดเจนแล้ว,1
15,ช่วงระยะเวลาของการประชาสัมพันธ์ในภาวะวิกฤตแบ่งได้เป็น 4 ระยะ ตามข้อใด ,1ระยะป้องกัน  ระยะก่อตัว   ระยะเกิดเหตุ   ระยะฟื้นฟู,2ระยะก่อตัว  ระยะป้องกัน   ระยะเกิดเหตุ   ระยะฟื้นฟู,3ระยะก่อตัว  ระยะเกิดเหตุ   ระยะฟื้นฟู   ระยะป้องกัน,4ระยะเกิดเหตุ  ระยะก่อตัว   ระยะฟื้นฟู   ระยะป้องกัน,1
16,ระยะเวลาของการประชาสัมพันธ์ช่วงใดที่มีวัตถุประสงค์เพื่อป้องกันปัญหาต่างๆ ที่อาจเกิดขึ้นโดยการทำวิจัยหรือวางแผนล่วงหน้าก่อนเกิดเหตุการณ์,1ระยะป้องกัน,2ระยะก่อตัว,3ระยะเกิดเหตุ,4ระยะฟื้นฟู,1
17,ระยะเวลาของการประชาสัมพันธ์ช่วงใดที่นักประชาสัมพันธ์ควรหาสาเหตุของการก่อตัวหรือสัญญาณที่บอกถึงภาวะวิกฤต,1ระยะป้องกัน,2ระยะก่อตัว,3ระยะเกิดเหตุ,4ระยะฟื้นฟู,2
18,ระยะเวลาของการประชาสัมพันธ์ช่วงใดที่นักประชาสัมพันธ์ควรใช้ไหวพริบในการแก้ปัญหา เพื่อให้การประชาสัมพันธ์เป็นไปอย่างรวดเร็วและสมบูรณ์ที่สุด,1ระยะป้องกัน,2ระยะก่อตัว,3ระยะเกิดเหตุ,4ระยะฟื้นฟู,3
19,ระยะเวลาของการประชาสัมพันธ์ช่วงใดที่นักประชาสัมพันธ์ควรมีการประชาสัมพันธ์อย่างต่อเนื่อง เพื่อรักษาภาพลักษณ์อันดีขององค์กรให้คงอยู่ต่อไป,1ระยะป้องกัน,2ระยะก่อตัว,3ระยะเกิดเหตุ,4ระยะฟื้นฟู,4
20,ระยะเวลาของการประชาสัมพันธ์ช่วงใดที่เป็นการประชาสัมพันธ์ในเชิงรุกด้วยการสร้างความสัมพันธ์อันดีกับประชาชนหรือองค์การต่างๆ ไว้ก่อนเกิดเหตุการณ์,1ระยะป้องกัน,2ระยะก่อตัว,3ระยะเกิดเหตุ,4ระยะฟื้นฟู,1
21,คำว่าภาพลักษณ์ (IMAGE) ตัวอักษร I หมายถึงข้อใด   ,1Imagine,2Institution,3Identify,4Invite,2
22,คำว่าภาพลักษณ์ (IMAGE) ตัวอักษร M หมายถึงข้อใด   ,1Man,2Money,3Material,4Management,4
23,คำว่าภาพลักษณ์ (IMAGE) ตัวอักษร A หมายถึงข้อใด   ,1Action,2Advance,3Active,4Accuracy,1
24,คำว่าภาพลักษณ์ (IMAGE) ตัวอักษร G หมายถึงข้อใด   ,1Government,2Good Government,3Goodness,4Good Governance,3
25,คำว่าภาพลักษณ์ (IMAGE) ตัวอักษร E หมายถึงข้อใด   ,1Environment,2Employee,3Emotion,4Evolution,2
26,คำว่า Corporate Image หมายถึงข้อใด   ,1ภาพลักษณ์ขององค์กร,2ภาพลักษณ์ของสถาบัน,3ภาพลักษณ์ของสินค้า,4ภาพลักษณ์ที่มีต่อตราสินค้า,1
27,คำว่า Institution Image หมายถึงข้อใด   ,1ภาพลักษณ์ขององค์กร,2ภาพลักษณ์ของสถาบัน,3ภาพลักษณ์ของสินค้า,4ภาพลักษณ์ที่มีต่อตราสินค้า,2
28,คำว่า Product Image หมายถึงข้อใด   ,1ภาพลักษณ์ขององค์กร,2ภาพลักษณ์ของสถาบัน,3ภาพลักษณ์ของสินค้า,4ภาพลักษณ์ที่มีต่อตราสินค้า,3
29,คำว่า Brand Image หมายถึงข้อใด   ,1ภาพลักษณ์ขององค์กร,2ภาพลักษณ์ของสถาบัน,3ภาพลักษณ์ของสินค้า,4ภาพลักษณ์ที่มีต่อตราสินค้า,4
30,คำว่า Service Image หมายถึงข้อใด   ,1ภาพลักษณ์ของบริการ,2ภาพลักษณ์ของสถาบัน,3ภาพลักษณ์ของสินค้า,4ภาพลักษณ์ที่มีต่อตราสินค้า,1
