1,"คำว่า “""จิตวิทยามวลชน""” ตรงกับคำภาษาอังกฤษว่าอะไร",1Community Psychology,2Social Psychology,3People Psychology,4Mass Psychology,4
2,ข้อใดไม่ใช่เครื่องมือสำคัญของจิตวิทยามวลชน,1การโฆษณาชวนเชื่อ,2การอบรมกล่อมเกลาทางสังคม,3การเร้าระดมทางสังคม,4การชุมนุมเรียกร้อง,4
3,ข้อใดเป็นทฤษฎีที่ชี้ให้เห็นถึงแนวคิดในการใช้จิตวิทยามวลชนในการปกครอง,1ทฤษฎีความเป็นผู้นำ,2ทฤษฎีเศรษฐศาสตร์การเมือง,3ทฤษฎีเทวสิทธิ์,4ทฤษฎีมาร์กซิสต์,3
4,ข้อใดไม่ใช่กลยุทธ์ที่ใช้สำหรับกลุ่มมวลชนที่มีอยู่โดยธรรมชาติโดยไม่ได้มีการจัดตั้ง,1การเข้าถึงคน,2การเข้าถึงงาน,3การเข้าถึงท้องที่,4การเข้าถึงผู้นำชุมชน,4
5,ข้อใดไม่ใช่ประเภทของกลุ่มมวลชน,1กลุ่มมวลชนที่มีอยู่โดยธรรมชาติ,2กลุ่มมวลชนที่ไม่มีการจัดตั้ง,3กลุ่มมวลชนที่มีการจัดตั้งเป็นองค์กร,4กลุ่มมวลชลภาครัฐและภาคเอกชน,4
6,ข้อใดไม่ถูกต้องเกี่ยวกับจิตวิทยามวลชนในประเทศไทย,1มีการนำจิตวิทยามวลชนมาใช้ในประเทศไทยนานแล้วตั้งแต่ก่อนสงครามโลกครั้งที่ 2,2การใช้จิตวิทยามวลชนเป็นเครื่องมือในการปกครองยุคแรกๆ จะเน้นการปลูกฝังอำนาจและบารมีให้แก่ตัวผู้นำ,3จิตวิทยามวลชนหลังสงครามโลกครั้งที่ 2 เน้นแบบแผนและเป็นระบบมากขึ้น,4ในยามคับขันของประเทศ จะมีการใช้จิตวิทยามวลชนเป็นเครื่องมือในการปกครองประเทศเพื่อให้เกิดความสงบสุข,3
7,ข้อใดไม่ใช่กลยุทธ์ที่ใช้สำหรับกลุ่มมวลชนที่มีการจัดตั้ง,1การติดต่อเข้าถึงมวลชน,2การเอาชนะจิตใจ,3การเข้าถึงงาน,4การใช้กำลัง,3
8,ข้อใดไม่ใช่ข้อจำกัดในการใช้จิตวิทยามวลชนในประเทศไทย,1ขาดหน่วยงานรับผิดชอบโดยตรง,2บุคลากรที่เกี่ยวข้องบางส่วนไม่มีคุณภาพมาตรฐาน,3กลุ่มมวลชนมีเป้าหมายที่หลากหลายแตกต่างกัน,4ช่วงเวลาการปฏิบัติงานมีระยะเวลานานเกินไป,4
9,วิชาจิตวิทยามวลชนมีวัตถุประสงค์ตรงกับข้อใดมากที่สุด,1เพื่อประชาสัมพันธ์ข้อมูลข่าวสารแก่มวลชน,2เพื่อเปลี่ยนแปลงหรือกำหนดพฤติกรรมมวลชนให้เป็นไปตามที่ต้องการ,3เพื่อศึกษาพฤติกรรมหรือธรรมชาติของมวลชน,4เพื่อยึดเหนี่ยวมวลชนให้เป็นอันหนึ่งอันเดียวกัน,2
10,ข้อใดไม่ใช่สาเหตุการนำจิตวิทยามวลชนมาใช้ในประเทศไทย,1ในยามปกติ เพื่อใช้เป็นเครื่องมือในการปกครองประเทศให้เกิดความสงบสุข,2ในยามปกติ เพื่อใช้เป็นเครื่องมือในการปกครองประเทศให้มั่นคงปลอดภัย,3ในยามคับขัน เพื่อใช้ช่วยสร้างพลังแก่ประชาชนในการต่อสู้เพื่อเอาชนะศัตรู,4ในยามคับขัน เพื่อควบคุมมวลชนไม่ให้เกิดการบาดเจ็บล้มตาย,4
11,ข้อใดไม่ใช่ความหมายในด้านแคบของคำว่า “มวลชน”,1กลุ่มคนที่รวมตัวกันด้วยจุดมุ่งหมายเพื่อประโยชน์ของส่วนรวม,2กลุ่มคนที่มารวมตัวกันด้วยความมุ่งหมายแบบเฉพาะเจาะจง,3กลุ่มคนเหล่านี้ส่วนมากจะมีลักษณะของการถูกจัดตั้งหรือควบคุมดูแลโดยรัฐ,4รัฐจะใช้กลุ่มคนเหล่านี้เพื่อประโยชน์ของรัฐเป็นหลัก หรือประโยชน์อื่นๆ ตามที่รัฐกำหนดไว้,1
12,ข้อใดไม่ใช่ความหมายในด้านกว้างของคำว่า “มวลชน”,1กลุ่มคนที่รวมตัวกันด้วยจุดมุ่งหมายเพื่อประโยชน์ของส่วนรวม,2กลุ่มคนที่รวมตัวกันด้วยความสนใจและความต้องการที่ตรงกัน,3กลุ่มคนที่มารวมตัวกันด้วยความมุ่งหมายแบบเฉพาะเจาะจง,4กลุ่มคนที่เกิดจากการจัดตั้งโดยประชาชน,3
13,ข้อใดคือประเภทของผู้ปฏิบัติงานมวลชนในกลุ่มมวลชนที่มีการจัดตั้งเป็นองค์กร,1ผู้ปฏิบัติงานมวลชนเต็มเวลา และผู้ปฏิบัติงานมวลชนนอกเวลา ,2ผู้ปฏิบัติงานมวลชนเต็มเวลา และผู้ปฏิบัติงานมวลชนเป็นครั้งคราว,3ผู้ปฏิบัติงานมวลชนเต็มเวลา และผู้ปฏิบัติงานมวลชนตามสถานการณ์,4ผู้ปฏิบัติงานมวลชนเต็มเวลา และผู้ปฏิบัติงานมวลชนตามตำแหน่งหน้าที่รับผิดชอบ,4
14,ข้อใดไม่ถูกต้องเกี่ยวกับกลุ่มมวลชนที่ไม่ได้มีการจัดตั้ง,1เป็นการใช้จิตวิทยามวลชนในภาวะปกติ ,2กลยุทธ์ที่ควรใช้ต่อกลุ่มมวลชนนี้ คือ การเข้าถึงคน การเข้าถึงงาน และการเข้าถึงท้องที่,3กลยุทธ์การเข้าถึงงานแบ่งได้เป็น 2 ประเภท ได้แก่ งานในสำนักงาน และงานนอกสำนักงาน,4เป็นกรณีที่มวลชนรวมตัวกันเนื่องจากเกิดจากความไม่พอใจต่อสภาพที่เป็นอยู่,4
15,ข้อใดจัดเป็นการแบ่งลักษณะงานที่เกี่ยวข้องกับกลุ่มมวลชนที่ไม่ได้มีการจัดตั้ง,1งานในสำนักงาน และงานนอกสำนักงาน ,2งานในราชการ และงานนอกราชการ,3งานตามปกติ และงานเร่งด่วน,4งานตามปกติ และงานในภาวะฉุกเฉิน,1
16,ข้อใดคือการสื่อสารที่ควรใช้ ในกรณีมวลชนมีพฤติกรรมร่วมโดยมีอารมณ์ที่รุนแรง ,1การสื่อสารด้วยความสุภาพ อ่อนโยน,2การสื่อสารด้วยความเร่งรีบ ให้ทันต่อสถานการณ์,3การสื่อสารโดยใช้เหตุผล,4การสื่อสารด้วยความหนักแน่น ขึงขัง เอาจริงเอาจัง,4
17,ข้อใดคือจิตวิทยาที่จะใช้ในการโน้มน้าวจิตใจฝูงชนหรือมวลชนได้ผลดีที่สุด ,1ความรัก,2ความโกรธ,3ความกลัว,4ความหลง,3
18,ข้อใดไม่ใช่ลักษณะการให้ความรู้แก่มวลชน กรณีเกิดความงมงายต่อบุคคลและลัทธิความเชื่อต่างๆ,1ควรกระทำโดยสื่อมวลชนที่วางตัวเป็นกลาง,2ควรกระทำโดยนักศึกษาที่วางตัวเป็นกลาง,3รัฐบาลต้องยื่นมือเข้าโค่นล้มบุคคล ลัทธิการเมือง หรือสิ่งอื่นๆ ที่ทำให้เกิดความงมงาย,4รัฐบาลควรรอให้มวลชนมีความสงบและเลิกงมงายด้วยตนเอง,4
19,ข้อใดไม่ใช่ลักษณะของจิตวิทยามวลชน,1เน้นการประชาสัมพันธ์และการเผยแพร่ข่าวสาร,2เน้นการพัฒนาชุมชนและพัฒนาสังคม,3เน้นการสร้างคนดีและพัฒนาคุณภาพประชากร,4เน้นการสร้างความสะดวกสบายให้แก่มวลชน,4
20,ข้อใดไม่ใช่เทคนิคการชี้นำมวลชน,1เข้าใจธรรมชาติของมวลชน,2ให้ความเป็นกันเอง,3ใช้หลักการประชาสัมพันธ์,4ให้มวลชนลงมติโดยเปิดเผย,4
21,กรณีความหมายในด้านกว้างของคำว่า “มวลชน” ข้อใดไม่ถูกต้อง,1การที่คนมารวมตัวกันด้วยจุดมุ่งหมายเพื่อประโยชน์ของส่วนรวม,2การที่คนมารวมตัวกันด้วยความสนใจและความต้องการที่ตรงกัน,3การที่คนมารวมตัวกันด้วยความมุ่งหมายแบบเฉพาะเจาะจง,4การที่คนมารวมตัวเกิดจากการจัดตั้งโดยประชาชน,3
