1,คำว่า “เครือข่าย” และ “การสร้างเครือข่าย” ตรงกับคำภาษาอังกฤษว่าอะไร,1Network และ Networking,2Networking และ Network,3Networker และ Networking,4Network และ Networker,1
2,ข้อใดไม่ใช่ชนิดของเครือข่าย,1เครือข่ายที่เกิดโดยธรรมชาติ,2เครือข่ายจัดตั้ง,3เครือข่ายวิวัฒนาการ,4เครือข่ายสังคม,4
3,ข้อใดจัดเป็นเครือข่ายที่เกิดขึ้นจากผู้คนที่มีใจตรงกัน ทำงานคล้ายคลึงกัน หรือประสบปัญหาเดียวกันมารวมตัวกัน,1เครือข่ายที่เกิดโดยธรรมชาติ,2เครือข่ายจัดตั้ง,3เครือข่ายวิวัฒนาการ,4เครือข่ายสังคม,1
4,ข้อใดจัดเป็นเครือข่ายที่เกี่ยวพันกับนโยบายหรือการดำเนินการของภาครัฐเป็นส่วนใหญ่,1เครือข่ายที่เกิดโดยธรรมชาติ,2เครือข่ายจัดตั้ง,3เครือข่ายวิวัฒนาการ,4เครือข่ายสังคม,2
5,เครือข่ายผู้สูงอายุจัดเป็นเครือข่ายชนิดใด,1เครือข่ายที่เกิดโดยธรรมชาติ,2เครือข่ายจัดตั้ง,3เครือข่ายวิวัฒนาการ,4เครือข่ายสังคม,3
6,เครือข่ายโรงเรียนสร้างเสริมสุขภาพจัดเป็นเครือข่ายชนิดใด,1เครือข่ายที่เกิดโดยธรรมชาติ,2เครือข่ายจัดตั้ง,3เครือข่ายวิวัฒนาการ,4เครือข่ายสังคม,3
7,ข้อใดไม่ถูกต้องเกี่ยวกับการสร้างเครือข่าย,1การสร้างเครือข่ายควรสนับสนุนให้มีการแลกเปลี่ยนข้อมูลข่าวสารด้วยความสมัครใจ,2การสร้างเครือข่ายควรสนับสนุนให้สมาชิกมีความสัมพันธ์กันฉันท์เพื่อน,3การสร้างเครือขายควรสร้างระบบติดต่อด้วยการเผยแพร่ข่าวสารแบบทางเดียว,4การสร้างเครือข่ายอาจเปรียบเสมือนเป็นการเปิดประตูสู่โลกภายนอก,3
8,องค์ประกอบของเครือข่ายที่ช่วยให้สมาชิกมีความรู้สึกผูกพันในการดำเนินกิจกรรมร่วมกันคือข้อใด,1การมีการรับรู้มุมมองที่เหมือนกัน,2การมีวิสัยทัศน์ร่วมกัน,3การมีความสนใจหรือผลประโยชน์ร่วมกัน,4การมีส่วนร่วมของสมาชิกในเครือข่าย,1
9,การผนึกกำลัง (synergy) ในการสร้างเครือข่ายหมายถึงข้อใด,1การสกัดเอาจุดแข็งของแต่ละฝ่ายมาเรียนรู้และสนับสนุนซึ่งกันและกัน,2การจัดการให้สมาชิกมานั่งรวมกันเพื่อพูดคุยสนทนาซึ่งกันและกัน,3การแลกเปลี่ยนข้อมูลข่าวสารโดยสมัครใจระหว่างสมาชิกแต่ละกลุ่ม,4การแลกเปลี่ยนข้อมูลข่าวสารโดยไม่มีผลกระทบต่อความเป็นอิสระของสมาชิกแต่ละคน,1
10,องค์ประกอบของเครือข่ายข้อใดจัดเป็นกระบวนการพัฒนาความเข้มแข็งของเครือข่าย เป็นเงื่อนไขที่ทำให้เกิดการร่วมรับรู้ ร่วมคิด ร่วมตัดสินใจ และร่วมลงมือทำอย่างเข้มแข็ง,1การมีการรับรู้มุมมองที่เหมือนกัน,2การมีวิสัยทัศน์ร่วมกัน,3การมีความสนใจหรือผลประโยชน์ร่วมกัน,4การมีส่วนร่วมของสมาชิกในเครือข่าย,4
11,ข้อใดคือลักษณะที่ดีของการปฏิสัมพันธ์กันระหว่างสมาชิกของเครือข่าย,1การแลกเปลี่ยนกัน,2การเป็นผู้ให้ฝ่ายเดียว,3การเป็นผู้รับฝ่ายเดียว,4การเชื่อมโยงแบบหลวมๆ,1
12,องค์ประกอบของเครือข่ายข้อใดที่ถือว่าเป็นหัวใจสำคัญที่ทำให้การดำเนินเครือข่ายเป็นไปอย่างต่อเนื่อง,1การมีการรับรู้มุมมองที่เหมือนกัน,2การมีวิสัยทัศน์ร่วมกัน,3การมีความสนใจหรือผลประโยชน์ร่วมกัน,4การมีส่วนร่วมของสมาชิกในเครือข่าย,1
13,องค์ประกอบของเครือข่ายข้อใดที่ทำให้สมาชิกมองเห็นจุดมุ่งหมายในอนาคตที่เป็นภาพเดียวกัน,1การมีการรับรู้มุมมองที่เหมือนกัน,2การมีวิสัยทัศน์ร่วมกัน,3การมีความสนใจหรือผลประโยชน์ร่วมกัน,4การมีส่วนร่วมของสมาชิกในเครือข่าย,2
14,องค์ประกอบของเครือข่ายข้อใดถือเป็นกระบวนการสำคัญในการพัฒนาความเข้มแข็งของเครือข่าย,1การมีการรับรู้มุมมองที่เหมือนกัน,2การมีวิสัยทัศน์ร่วมกัน,3การมีความสนใจหรือผลประโยชน์ร่วมกัน,4การมีส่วนร่วมของสมาชิกในเครือข่าย,4
15,การมีส่วนร่วมของสมาชิกทุกคนในเครือข่าย สถานะของสมาชิกในเครือข่ายควรมีลักษณะใด,1เจ้านายต่อลูกน้อง,2ครูต่อศิษย์,3พ่อแม่ต่อลูก,4เพื่อนต่อเพื่อน,4
16,องค์ประกอบของเครือข่ายข้อใดที่มีการนำจุดแข็งของสมาชิกฝ่ายหนึ่งไปช่วยแก้ไขจุดอ่อนของสมาชิกอีกฝ่ายหนึ่ง ,1การมีส่วนร่วมของสมาชิกทุกคนในเครือข่าย,2การเกื้อหนุนพึ่งพากัน,3การมีปฏิสัมพันธ์ในเชิงแลกเปลี่ยน,4การมีความสนใจหรือผลประโยชน์ร่วมกัน,2
17,การที่สมาชิกเครือข่ายมีการพบปะพูดคุยเพื่อแลกเปลี่ยนความคิดเห็นซึ่งกันและกันจัดอยู่ในองค์ประกอบของเครือข่ายข้อใด ,1การมีส่วนร่วมของสมาชิกทุกคนในเครือข่าย,2การเกื้อหนุนพึ่งพากัน,3การมีปฏิสัมพันธ์ในเชิงแลกเปลี่ยน,4การมีความสนใจหรือผลประโยชน์ร่วมกัน,3
