1,การมีส่วนร่วมของประชาชน ตรงกับคำภาษาอังกฤษว่าอะไร,1People Participant,2Public Participant,3Community Participant,4Social Participant,2
2,ข้อใดไม่ใช่รูปแบบการมีส่วนร่วมที่ดำเนินอยู่โดยทั่วไป,1การเป็นอาสาสมัคร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,1
3,รูปแบบการมีส่วนร่วมข้อใดเป็นเป้าหมายสูงสุดของการมีส่วนร่วมของประชาชน,1การรับรู้ข่าวสาร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,4
4,“การประชาพิจารณ์” จัดเป็นรูปแบบการมีส่วนร่วมในข้อใด,1การรับรู้ข่าวสาร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,3
5,กลยุทธ์การประชาสัมพันธ์โดยเน้น...............................เป็นแนวความคิดใหม่ที่มีรากฐานมาจากแนวคิดของระบอบประชาธิปไตย,1การโฆษณาทางเครือข่ายสังคมออนไลน์,2การสำรวจความต้องการของสังคม,3การมีส่วนร่วมของทุกภาคส่วน,4การมีส่วนร่วมของประชาชน,4
6,ข้อใดไม่ใช่รูปแบบของการประชุมรับฟังความคิดเห็น,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,4
7,การแจ้งให้ประชาชนทราบถึงรายละเอียดของโครงการที่จะดำเนินการ รวมทั้งผลกระทบที่จะเกิดขึ้นจัดเป็นรูปแบบการมีส่วนร่วมในข้อใด,1การรับรู้ข่าวสาร,2การปรึกษาหารือ,3การประชุมรับฟังความคิดเห็น,4การร่วมในการตัดสินใจ,1
8,ข้อใดเป็นเวทีในการเสนอข้อมูลอย่างเปิดเผย ไม่มีการปิดบัง ทั้งฝ่ายเจ้าของโครงการและฝ่ายผู้มีส่วนได้เสียจากโครงการ,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,3
9,ข้อใดคือการประชุมที่ต้องมีการเชิญผู้เชี่ยวชาญเฉพาะสาขาจากภายนอกมาช่วยอธิบายและให้ความคิดเห็นต่อโครงการ,1การประชุมในระดับชุมชน,2ประชุมรับฟังความคิดเห็นในเชิงวิชาการ,3การประชาพิจารณ์,4การปรึกษาหารือ,2
10,"องค์การสหประชาชาติได้กำหนดความหมายของ “""การมีส่วนร่วม""” ว่าอย่างไร",1การเปิดโอกาสให้สมาชิกทุกคนในสังคมได้มีส่วนช่วยเหลือกันอย่างเต็มที่ต่อสังคมนั้นๆ,2การให้ประชาชนเข้ามามีส่วนเกี่ยวข้องในการดำเนินงานพัฒนา ร่วมคิด ร่วมตัดสินใจแก้ปัญหาต่างๆ,3การเปิดโอกาสให้บุคคลได้มีส่วนช่วยเหลือระหว่างกัน ร่วมวางแผน ร่วมตัดสินใจ ร่วมปฏิบัติงานและร่วมรับผิดชอบในเรื่องต่างๆ,4การที่ประชาชนจะต้องเข้าไปมีส่วนในการตัดสินใจระดับต่างๆ ทางการจัดการบริหาร และทางการเมือง เพื่อกำหนดความต้องการในชุมชนของตน,1
11,รูปแบบของการมีส่วนร่วมในรูปแบบของ “การรับรู้ข่าวสาร” ตรงกับคำภาษาอังกฤษว่าอะไร,1Public Information,2Public Consultation,3Public Meeting,4Decision Making,1
