1,ข้อมูล data กับ สารสนเทศ (information) มีความหมายเหมือนหรือต่างกันอย่างไร,1เหมือนกัน data และ information คือข้อมูลที่เรียกชื่อต่างกัน,2เหมือนกัน data และ information เพราะทั้งสองอย่างต่างมีความสัมพันธ์กัน,3ต่างกัน data คือ ข้อมูลที่ได้ผ่านกระบวนการประมวลผลแล้ว information คือ ข้อเท็จจริงหรือสาระต่าง ๆ,4ต่างกัน data คือ ข้อเท็จจริงหรือสาระต่าง ๆ information คือ ข้อมูลที่ได้ผ่านกระบวนการประมวลผลแล้ว,4,,
2,สารสนเทศ (Information) คืออะไร,1ข้อเท็จจริงหรือสาระต่าง ๆ,2ตัวเลขหรือข้อความที่เกิดขึ้นจากการดำเนินงาน,3ข้อมูลที่ได้ผ่านกระบวนการประมวลผลแล้ว,4ข้อมูลทั่วไป,2,,
3,ข้อใดไม่ใช่คุณสมบัติของข้อมูลที่ดี,1ความทันเวลา,2ความถูกต้อง,3มีปริมาณมาก,4ต้องมีความสมบูรณ์,1,,
4,IT (Information Technology) สามารถแบ่งกลุ่มย่อยได้เป็นกี่กลุ่ม,11,22,33,44,2,,
5,ข้อใดถูกต้อง,1ระบบสารสนเทศทำให้เข้าถึงข้อมูลและสารสนเทศได้อย่างรวดเร็ว,2ระบบสารสนเทศทำให้สามารถกำหนดเป้าหมาย กลยุทธ์ และวางแผน ปฏิบัติงานได้อย่างมีประสิทธิภาพ,3ระบบสารสนเทศทำให้ประหยัดการใช้งานทรัพยากร ลดค่าใช้จ่ายในการทำงานลง,4ถูกทุกข้อ,3,,
6,เครื่องมือในการสร้างระบบสารสนเทศจำแนกไว้ กี่ ส่วน,15,24,33,42,2,,
7,ข้อใดไม่ใช่เครื่องมือในการสร้างระบบสารสนเทศ,1ฐานข้อมูล (Data Base),2เครื่องมือ (Tools) ที่ใช้จัดเก็บและประมวลผลข้อมูล,3ข้อ  1 และ 2  ถูก,4ไม่มีข้อใดถูก,4,,
8,ระบบที่รวบรวมและจัดเก็บข้อมูลจากแหล่งข้อมูลต่าง ๆ ทั้งภายใน และภายนอกองค์การอย่างมีหลักเกณฑ์ เพื่อนำมาประมวลผลและจัดรูปแบบให้ได้สารสนเทศที่ช่วยสนับสนุนการทำงาน และการตัดสินใจในด้านต่าง ๆ ของผู้บริหาร คือระบบอะไร,1TPS,2MRS,3MIS,4ถูกทุกข้อ,3,,
9,“ภาพรวมของระบบสารสนเทศเป็นระบบรวมขนาดใหญ่ ซึ่งสามารถแบ่งระบบสารสนเทศออกเป็นระบบย่อย 5 ส่วน” ข้อใดถูกต้อง,1TPS คือ ระบบจัดการรายงาน,2OIS คือ ระบบสารสนเทศสำหรับผู้บริหาร,3DSS คือ ระบบสนับสนุนการตัดสินใจ,4ถูกทุกข้อ,2,,
10,ระบบประมวลผลรายการหมายถึงข้อใด,1ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้นเพื่อให้ทำงานเกี่ยวข้องกับการดำเนินงานภายในองค์การ โดยใช้เครื่องมือทางอีเล็กทรอนิกส์ โดยเฉพาะคอมพิวเตอร์เข้ามาเป็นอุปกรณ์หลักของระบบ,2ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้น เพื่อรวบรวม ประมวลผล จัดระบบและจัดทำแบบรายงาน หรือเอกสารสำหรับช่วยในการตัดสินใจในปัญหาแบบโครงสร้างที่เกี่ยวข้องกับการบริหาร,3ระบบสารสนเทศที่จัดหาหรือจัดเตรียมข้อมูลสำคัญสำหรับผู้บริหารระดับกลางและผู้บริหารระดับสูง เพื่อจะช่วยในการตัดสินใจแก้ปัญหาหรือเลือกโอกาสที่เกิดขึ้น,4ไม่มีข้อใดถูก,4,,
11,ระบบจัดการรายงานหมายถึงข้อใด,1ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้นเพื่อให้ทำงานเกี่ยวข้องกับการดำเนินงานภายในองค์การ โดยใช้เครื่องมือทางอีเล็กทรอนิกส์ โดยเฉพาะคอมพิวเตอร์เข้ามาเป็นอุปกรณ์หลักของระบบ,2ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้น เพื่อรวบรวม ประมวลผล จัดระบบและจัดทำแบบรายงาน หรือเอกสารสำหรับช่วยในการตัดสินใจในปัญหาแบบโครงสร้างที่เกี่ยวข้องกับการบริหาร,3ระบบสารสนเทศที่จัดหาหรือจัดเตรียมข้อมูลสำคัญสำหรับผู้บริหารระดับกลางและผู้บริหารระดับสูง เพื่อจะช่วยในการตัดสินใจแก้ปัญหาหรือเลือกโอกาสที่เกิดขึ้น,4ไม่มีข้อใดถูก,1,,
12,ระบบสนับสนุนการตัดสินใจหมายถึงข้อใด,1ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้นเพื่อให้ทำงานเกี่ยวข้องกับการดำเนินงานภายในองค์การ โดยใช้เครื่องมือทางอีเล็กทรอนิกส์ โดยเฉพาะคอมพิวเตอร์เข้ามาเป็นอุปกรณ์หลักของระบบ,2ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้น เพื่อรวบรวม ประมวลผล จัดระบบและจัดทำแบบรายงาน หรือเอกสารสำหรับช่วยในการตัดสินใจในปัญหาแบบโครงสร้างที่เกี่ยวข้องกับการบริหาร,3ระบบสารสนเทศที่จัดหาหรือจัดเตรียมข้อมูลสำคัญสำหรับผู้บริหารระดับกลางและผู้บริหารระดับสูง เพื่อจะช่วยในการตัดสินใจแก้ปัญหาหรือเลือกโอกาสที่เกิดขึ้น,4ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้น เพื่อช่วยให้การทำงานของพนักงานในสำนักงานมีประสิทธิภาพ,2,,
13,ระบบสารสนเทศสำนักงานหมายถึงข้อใด,1ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้นเพื่อให้ทำงานเกี่ยวข้องกับการดำเนินงานภายในองค์การ โดยใช้เครื่องมือทางอีเล็กทรอนิกส์ โดยเฉพาะคอมพิวเตอร์เข้ามาเป็นอุปกรณ์หลักของระบบ,2ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้น เพื่อรวบรวม ประมวลผล จัดระบบและจัดทำแบบรายงาน หรือเอกสารสำหรับช่วยในการตัดสินใจในปัญหาแบบโครงสร้างที่เกี่ยวข้องกับการบริหาร,3ระบบสารสนเทศที่จัดหาหรือจัดเตรียมข้อมูลสำคัญสำหรับผู้บริหารระดับกลางและผู้บริหารระดับสูง เพื่อจะช่วยในการตัดสินใจแก้ปัญหาหรือเลือกโอกาสที่เกิดขึ้น,4ระบบสารสนเทศที่ถูกออกแบบและพัฒนาขึ้น เพื่อช่วยให้การทำงานในสำนักงานมีประสิทธิภาพ,2,,
14,ระบบสารสนเทศสำหรับผู้บริหารมีคุณสมบัติที่สำคัญ 5 ประการ ข้อใดผิด,1สนับสนุนการวางแผนกลยุทธ์,2เชื่อมโยงกับสิ่งแวดล้อมภายนอกองค์การ,3มีความสามารถในการคำนวณภาพกว้าง,4พัฒนาสำหรับผู้บริหารทั่วไป,3,,
15,ขั้นตอนใดมีการกำหนดการนำเข้าข้อมูลที่เหมาะสมกับงาน,1การตรวจสอบข้อมูล,2การประมวลผลข้อมูล,3การเก็บรวบรวมข้อมูล,4ถูกทุกข้อ,4,,
16,เมื่อมีการเก็บรวบรวมข้อมูลแล้วจำเป็นต้องมีการตรวจสอบข้อมูล เพื่ออะไร,1ข้อมูลที่เหมาะสมกับงาน,2ความถูกต้อง,3ประมวลผลข้อมูล,4ถูกทุกข้อ,4,,
17,การดำเนินการประมวลผลข้อมูลเพื่ออะไร,1เพื่อให้ข้อมูลกลายเป็นสารสนเทศ,2เพื่อให้ข้อมูลถูกต้อง,3เพื่อให้ข้อมูลมากขึ้น,4ถูกทุกข้อ,3,,
18,ข้อใดไม่ใช่การดูแลรักษาสารสนเทศเพื่อการใช้งาน,1การทำสำเนาข้อมูล,2การค้นหาข้อมูล,3การคำนวณ,4ถูกทุกข้อ,1,,
19,การเก็บรักษาข้อมูลหมายถึงข้อใด,1นำข้อมูลมาบันทึกเก็บไว้ในสื่อบันทึกต่างๆ,2การประมวลผลข้อมูล,3การทำข้อมูลให้มากขึ้น,4ไม่มีข้อใดถูก,2,,
20,การจัดเก็บข้อมูลที่ดีควรทำอย่างไร,1ข้อมูลต้องถูกต้อง,2ไม่ซ้ำซ้อน,3มีความสมบูรณ์,4ถูกทุกข้อ,3,,
21,ข้อมูล (Data) คืออะไร,1ข้อเท็จจริงหรือสาระต่าง ๆ,2ตัวเลขหรือข้อความที่เกิดขึ้นจากการดำเนินงาน,3ข้อเท็จจริงที่ได้ผ่านกระบวนการประมวลผลแล้ว,4ข้อ 1 และ 2 ถูก,4,,
22,ข้อใดคือคุณสมบัติของข้อมูลที่ดี,1มีความถูกต้อง,2มีความสมบูรณ์,3มีความสอดคล้องกับความต้องการของผู้ใช้,4ถูกทุกข้อ,4,,
23,ข้อใดมิใช่องค์ประกอบของ เทคโนโลยีสารสนเทศ  (Information Technology) ,1ระบบประมวลผลข้อมูล,2ระบบรองรับข้อมูล,3ระบบสื่อสารโทรคมนนาคม,4ระบบการจัดการข้อมูล,2,,
24,เครื่องมือ (Tools) ที่ใช้จัดเก็บและประมวลผลข้อมูล ประกอบด้วยส่วนสำคัญใดบ้าง,1ข้อมูล  (Data) ,2อุปกรณ์ (Hardware),3ชุดคำสั่ง (Software),4ข้อ 2 และ 3 ถูก,4,,
25,ข้อใดมิใช่หน้าที่หลักของระบบสารสนเทศเพื่อการจัดการ (MIS),1สนันสนุนการปฏิบัติงานของพนักงาน,2รวบรวมข้อมูลจากแหล่งต่างๆมาไว้ด้วยกันอย่างเป็นระบบ,3ทำการประมวลผลข้อมูลอย่างมีประสิทธิภาพ,4สร้างสารสนเทศที่ช่วยสนับสนุนการปฏิบัติงานและการบริหารงานของผู้บริหาร,1,,
26,ข้อใดมิใช่ระบบย่อยของระบบสารสนเทศรวมขนาดใหญ่,1ระบบประมวลผลรายการ,2ระบบตรวจสอบข้อมูล,3ระบบการจัดรายการ,4ระบบสนับสนุนการตัดสินใจ,2,,
27,(Office Information System:OIS) คือ,1ระบบประมวลผลรายการ,2ระบบการจัดรายการ,3ระบบสารสนเทศสำนักงาน,4ระบบสนับสนุนการตัดสินใจ,3,,
28,ข้อใดคือส่วนประกอบของระบบสารสนเทศสำนักงาน,1ระบบการจัดการข่าวสาร,2ระบบประชุมทางไกล,3ระบบสนับสนุนสำนักงาน,4ถูกทุกข้อ,4,,
29,ข้อใดมิใช่คุณสมบัติที่สำคัญ ของระบบสารสนเทศสำหรับผู้บริหาร,1สนับสนุนการวางแผนกลยุทธ์,2เชื่อมโยงกับสิ่งแวดล้อมภายนอกองค์การเท่านั้น,3มีความสามารถในการคำนวณภาพกว้าง,4ง่ายต่อการเรียนรู้,2,,
30,ข้อใดมิใช่กระบวนการหรือขั้นตอนในการประมวลผลข้อมูลเพื่อให้เป็นสารสนเทศ,1การจัดแบ่งข้อมูล,2การจัดเรียงข้อมูล,3การสรุปผล,4การค้นหาผล,4,,
31,การนำข้อมูลมาบันทึกเก็บไว้ในสื่อบันทึก เพื่อใช้งานต่อไปในอนาคต คือ,1การค้นหาข้อมูล,2การทำสำเนาข้อมูล,3การเก็บรักษาข้อมูล,4การค้นหาผล,3,,
32,ข้อใดคือการดูแลรักษาสารสนเทศเพื่อการใช้งาน,1การเก็บรักษาข้อมูล,2การทำสำเนาข้อมูล,3การคำนวณ,4ข้อ 1 และ 2 ถูก,4,,
33,การสร้างสารสนเทศจากข้อมูลที่เป็นตัวเลข ทำได้โดย,1การคำนวณ,2การสรุปผล,3การจัดเรียงข้อมูล,4การจัดแบ่งข้อมูล,1,,
34,การสร้างรายงานย่อ เป็นกระบวนการใดของการประมวลผลข้อมูลให้เป็นสารสนเทศ,1การคำนวณ,2การสรุปผล,3การจัดเรียงข้อมูล,4การจัดแบ่งข้อมูล,2,,
35,ข้อใดคือการจัดเรียงข้อมูล,1การสรุปผลข้อมูล,2การจัดเรียงข้อมูลตามลำดับตัวเลข,3การคำนวณข้อมูลที่เก็บไว้,4ไม่มีข้อใดถูก,2,,
36,การกระจายหรือส่งต่อข้อมูลไปยังผู้ใช้งานที่ห่างไกล เป็นขั้นตอนใดของการดูแลรักษาสารสนเทศเพื่อการใช้งาน,1การเก็บรักษาข้อมูล,2การค้นหาข้อมูล,3การทำสำเนาข้อมูล,4การสื่อสาร,4,,
37,ข้อใดคือวิธีการตรวจสอบข้อมูล ,1การให้ผู้ป้อนข้อมูลสองคนป้อนข้อมูลชุดเดียวกันเข้าเครื่องคอมพิวเตอร์แล้วเปรียบเทียบกัน,2การเขียนชุดคำสั่งให้ตรวจสอบชุดข้อมูลก่อนทำการจัดเก็บ,3ข้อ 1 และ 2 ถูก,4ไม่มีข้อใดถูก,3,,
38,ข้อใดคือการนำเข้าข้อมูล,1การป้อนข้อมูลเข้าเครื่องคอมพิวเตอร์,2การอ่านข้อมูลจากรหัสแท่ง,3การตรวจใบลงทะเบียนที่มีการฝนดินสอดำในตำแหน่งต่างๆ,4ถูกทุกข้อ,4,,
39,ในเรื่องการตัดสินใจของผู้บริหาร(Structured Problems) คือ,1ปัญหาแบบมีโครงสร้าง,2ปัญหาในระบบ,3ปัญหาการจัดองค์การ,4ปัญหาทั่วไป,1,,
40,(MIS) คือ,1ระบบสารสนเทศเพื่อการบริหาร,2ระบบสารสนเทศเพื่อการคำนวณ,3ระบบสารสนเทศเพื่อการเรียนรู้,3ระบบสารสนเทศเพื่อลูกค้า,1,,
41,ข้อใดมิใช่คุณสมบัติที่ดีของระบบสารสนเทศเพื่อการบริหาร,1สามารถเชื่อมโยงกับระบบงานอื่นๆขององค์กร,2สามารถประมวลผลได้อย่างรวดเร็ว,3ให้บุคลากรบางกลุ่มได้รับประโยชน์,4มีการจัดเก็บข้อมูลที่ถูกต้อง,3,,
42,ความสามารถในการสร้างความยอมรับของทุกฝ่ายต่อระบบสารสนเทศเพื่อการบริหารเป็นอย่างไร,1ไม่รู้สึกถูกแบ่งแยก,2ไม่รู้สึกถูกเอาเปรียบ,3ไม่รู้สึกถูกลดความสำคัญ,4ถูกทุกข้อ,4,,
43,ระบบสารสนเทศเพื่อการบริหารที่ดี ต้องมีการจัดเก็บข้อมูลแบบใด,1ถูกต้อง,2ไม่ซ้ำซ้อน,3มีการป้องกันการเข้าถึงข้อมูลอย่างเหมาะสม,4ถูกทุกข้อ,4,,
44,ระบบสารสนเทศเพื่อการบริหารที่มีแนวทางในการวิเคราะห์ข้อมูลจากหลายแหล่งข้อมูล ถือเป็นลักษณะที่ดีด้านใด,1มีการจัดเก็บข้อมูลที่ถูกต้อง,2สามารถเชื่อมโยงกับระบบงานอื่นๆ,3สามารถสร้างความยอมรับ,4ถูกทุกข้อ,2,,
45,คุณสมบัติที่สำคัญของระบบสารสนเทศสำหรับผู้บริหาร ด้าน Strategic Planning Support คือ ,1สนับสนุนการวางแผนกลยุทธ์,2สนับสนุนการเชื่อมโยง,3สนับสนุนการคำนวณ,4สนับสนุนการเรียนรู้,1,,
46,คุณสมบัติที่สำคัญของระบบสารสนเทศสำหรับผู้บริหาร ด้าน Broad-based Computing Capabilities คือ ,1การเชื่อมโยงกับสิ่งแวดล้อมภายนอกองค์กร,2ความสามารถในการคำนวณภาพกว้าง,3ง่ายต่อการเรียนรู้และการใช้งาน,4ง่ายต่อการพัฒนา,2,,
47,Executive Support System คือ,1ระบบสนับสนุนพนักงาน,2ระบบสนับสนุนผู้บริหาร,3ระบบสนับสนุนสำนักงาน,4ระบบสนับสนุนลูกค้า,2,,
48,Executive Information System คือ,1ระบบสารสนเทศสำหรับพนักงาน,2ระบบสารสนเทศสำหรับผู้บริหาร,3ระบบสารสนเทศสำนักงาน,4ถูกทุกข้อ,2,,
49,ข้อใดมิใช่คุณสมบัติที่สำคัญของระบบสารสนเทศสำหรับผู้บริหาร ,1สนับสนุนการวางแผนกลยุทธ์,2สามารถเชื่อมโยงกับสิ่งแวดล้อมภายนอกองค์กร,3สนับสนุนกลุ่มลูกค้า,4มีความสามารถในการคำนวณภาพกว้าง,3,,
50,ระบบประชุมทางไกล ประกอบด้วยสิ่งใด,1การประชุมด้วยเสียง,2การประชุมด้วยภาพ,3โทรสาร,4ข้อ 1 และ 2 ถูก,4,,
51,ข้อใดคือระบบสนับสนุนสำนักงาน,1โปรแกรมการทำงานแบบระบบเครือข่าย,2ระบบการประมวลภาพ,3การทำสำเนา,4หน่วยเก็บข้อมูลถาวร,1,,
52,วัตถุประสงค์ของระบบสารสนเทศสำนักงาน คือ,1เพื่อให้การติดต่อสื่อสารระหว่างพนักงานในองค์กรเดียวกันเป็นไปอย่างสะดวก,2เพื่อให้การติดต่อสื่อสารระหว่างองค์กรเป็นไปอย่างสะดวก,2เพื่อให้การติดต่อกับสิ่งแวดล้อมภายนอกเป็นไปอย่างสะดวก,4ถูกทุกข้อ,4,,
53,OIS คือ ,1ระบบสารสนเทศสำหรับผู้บริหาร,2ระบบสารสนเทศสำนักงาน,3ระบบสารสนเทศเพื่อการบริหาร,4ระบบสารสนเทศเพื่อการตัดสินใจ,2,,
54,Decision Supporting System คือ,1ระบบจัดการรายงาน,2ระบบการจัดเอกสาร,3ระบบสนับสนุนการตัดสินใจ,4ระบบประมวลผลรายงาน,3,,
55,ระบบสนับสนุนการตัดสินใจ จัดเตรียมข้อมูลให้กับผู้ใด,1ผู้บริหาร,2พนักงาน,3ลูกค้า,4เหมาะกับทุกกลุ่ม,1,,
56,Management Report System คือ,1ระบบจัดการรายงาน,2ระบบประมวลผลรายการ,3ระบบรายงานตามคำขอ,4ระบบสนับสนุนการตัดสินใจ,1,,
57,ระบบจัดการรายงาน เรียกอีกอย่างว่า,1แบบตัวอย่าง,2แบบกำหนดไว้ล่วงหน้า,3แบบแก้ปัญหา,4แบบฟอรม์,2,,
58,ระบบการจัดการรายงานมักจะใช้ในการแก้ปัญหาใด,1ปัญหาแบบไม่เป็นโครงสร้าง,2ปัญหาแบบมีโครงสร้าง,3ปัญหาแบบกึ่งโครงสร้าง,4ปัญหาซับซ้อน,2,,
59,ระบบสนับสนุนการตัดสินใจมักใช้กับการตัดสินใจประเภทใด,1การตัดสินใจแบบไม่เป็นโครงสร้าง,2การตัดสินใจแบบกึ่งโครงสร้าง,3การตัดสินใจแบบไม่เคยกำหนดล่วงหน้ามาก่อน,4ถูกทุกข้อ,4,,
60,การตัดสินใจแบบไม่เป็นโครงสร้าง เป็นการตัดสินใจสำหรับปัญหาที่มีลักษณะอย่างไร,1ปัญหาซึ่งมีรูปแบบไม่ชัดเจน,2ปัญหาที่มีความซับซ้อน,3ปัญหาที่ไม่มีแนวทางแก้ไขที่ชัดเจน,4ถูกทุกข้อ,4,,
