1,หน่วยงานใดมีอำนาจและหน้าที่จัดให้มีศูนย์ให้คำปรึกษาแนะนำเกี่ยวกับการปฏิบัติตามประมวลจริยธรรมและจรรยาบรรณของตำรวจ (ฉบับที่ ๒) พ.ศ.๒๕๕๓    ,กองบัญชาการศึกษา ,จเรตำรวจแห่งชาติ,สำนักงานผู้บัญชาการตำรวจแห่งชาติ,สำนักงานเลขานุการตำรวจ,2
2,กรณีเมื่อข้าราชการตำรวจได้ละเมิด ฝ่าฝืน หรือไม่ปฏิบัติตามประมวลจริยธรรมและจรรยาบรรณของตำรวจจะต้องรายงานผู้บังคับบัญชาทางใด   ,เป็นหนังสือทันที,วาจาเท่านั้น,ทางเครื่องมือสื่อสารเท่านั้น,ในที่ประชุมเท่านั้น,1
3,แนวทางชี้นำการประพฤติตนและปฏิบัติหน้าที่เพื่อบรรลุถึงปณิธานของการเป็นผู้พิทักษ์สันติราษฎร์คือ            ,สันติภาพ,สัจธรรม,คติธรรม  ,อุดมคติของตำรวจ,4
4,หน่วยงานใดที่ทำหน้าที่เป็นศูนย์ส่งเสริมจริยธรรมและพัฒนาคุณธรรมของข้าราชการตำรวจ,สำนักงานผู้บัญชาการตำรวจแห่งชาติ    ,ก.ต.ช.          ,กองบัญชาการศึกษา,สำนักงานกฎหมายและคดี,3
5,ตัวชี้วัดและหลักเกณฑ์การประเมินเพื่อประกาศเชิดชูเกียรติหน่วยงานและข้าราชการตำรวจที่ประพฤติปฏิบัติดีเยี่ยมตามประมวลจริยธรรมและจรรยาบรรณของตำรวจ  ต้องได้รับความเห็นชอบจาก,ก.ตร.,ก.ต.ช.,สำนักงานตรวจสอบภายใน,กองวินัย,1
6,ผู้ใดเป็นผู้กำหนดค่านิยมหลักของมาตรฐานจริยธรรมสำหรับเจ้าหน้าที่ของรัฐ   ,ก.ตร.,จเรตำรวจแห่งชาติ,สำนักงบประมาณและการเงิน,ผู้ตรวจการแผ่นดิน,4
7,หน่วยงานใดที่มีหน้าที่กำหนดตัวชี้วัดและหลักเกณฑ์การประเมินเพื่อประกาศเชิดชูเกียรติหน่วยงานและข้าราชการตำรวจที่ประพฤติปฏิบัติดีเยี่ยมตามประมวลจริยธรรมและจรรยาบรรณของตำรวจ,สำนักงานเลขานุการตำรวจแห่งชาติ,กองสารนิทศ,กองวินัย,กองบัญชาการศึกษา,4
8,การพิจารณาการเลื่อนตำแหน่งข้าราชการตำรวจผู้ใด ในระดับกองบัญชาการ ควรคำนึงถึง……การปฏิบัติตามประมวลจริยธรรมและจรรยาบรรณของบุคคลดังกล่าวด้วย,พฤติกรรม ,ความสมัครใจ,ระบบอุปถัมภ์,ความเสี่ยง,1
9,กรอบแห่งการประพฤติปฏิบัติของข้าราชการตำรวจได้แก่,การสร้างชื่อเสียงเกียจติยศ ,คุณธรรม จริยธรรม และจรรยาบรรณ ,หลักประชาสัมพันธ์,การเผยแพร่ต่อสื่อมวลชน,2
10,ประมวลจริยธรรมและจรรยาบรรณของตำรวจ(ฉบับที่ ๒)พ.ศ.๒๕๕๓ประกอบด้วย,มนุษย์สัมพันธ์,ประชาสัมพันธ์,หลักจิตวิทยา,คุณธรรม จริยธรรม และจรรยาบรรณ ,4
11,ประมวลความประพฤติในการปฏิบัติหน้าที่ของวิชาชีพตำรวจ ที่ข้าราชการตำรวจต้องยึดถือปฏิบัติ เพื่อธำรงไว้ซึ่งศักดิ์ศรีและเกียรติภูมิของข้าราชการตำรวจและวิชาชีพตำรวจข้อความนี้หมายถึง,จรรยาบรรณของตำรวจ,จริยธรรม,คุณธรรม,อุดมคติตำรวจ,1
12,คุณธรรมตามพระบรมราโชวาทเป็นเครื่องเหนี่ยวรั้งในการประพฤติตนและปฏิบัติหน้าที่ของข้าราชการตำรวจได้แก่,   การอดทน อดกลั้น และอดออม,การไม่รู้จักละวางความชั่ว,การไม่ควรสละประโยชน์ส่วนน้อยของตน,การประพฤติล่วงความสัจสุจริต ,1
13,คุณความดีที่เป็นข้อประพฤติตนและปฏิบัติหน้าที่ของข้าราชการตำรวจเพื่อให้ประชาชนศรัทธา เชื่อมั่นและยอมรับ  ข้อความนี้หมายถึง,จรรยาบรรณของตำรวจ,จริยธรรมของตำรวจ,คุณธรรมของตำรวจ,หลักประชาสัมพันธ์ ,2
14,ข้าราชการตำรวจต้องมีจิตสำนึกของความเป็นผู้พิทักษ์สันติราษฎร์โดยมีวัตถุประสงค์เพื่อ,ปฏิบัติตนให้เป็นที่ไม่เชื่อถือไว้ว่างใจของประชาชน,ให้ประชาชนศรัทธาและเชื่อมั่น,พัฒนาตนองก่อให้เกิดความชำนาญ,การบริการประชาชนต้องเลือกปฏิบัติ  ,2
15,ข้อใดของข้าราชการตำรวจที่ไม่มีมีจิตสำนึกของความเป็นผู้พิทักษ์สันติราษฎร์ที่จะทำให้ประชาชนศรัทธาและเชื่อมั่น ดังต่อไปนี้,มีท่าทีเป็นมิตร มีมนุษย์สัมพันธ์อันดี และมีความสุภาพอ่อนโยนต่อประชาชนผู้รับบริการ รวมทั้งให้บริการประชาชนด้วยความเต็มใจ รวดเร็ว และไม่เลือกปฏิบัติ,ปฏิบัติตนให้เป็นที่เชื่อถือไว้วางใจของประชาชนโดยใช้ถ้อยคำหยาบคาย ดูหมิ่น หรือเหยียดหยามประชาชน,เอื้อเฟื้อ สงเคราะห์ และช่วยเหลือประชาชนเมื่ออยู่ในฐานะที่จำเป็นต้องได้รับความช่วยเหลือ ,ให้ข้อมูลข่าวสารแก่ประชาชนที่ร้องขอ ต้องดำเนินการด้วยความรวดเร็วและไม่ให้ข้อมูลข่าวสารอันเป็นเท็จแก่ประชาชน,2
16,ข้าราชการตำรวจต้องปฏิบัติหน้าที่อย่างมีประสิทธิภาพ ประสิทธิผลและเกิดประโยชน์สูงสุด โดยคำนึงถึงประโยชน์ของสิ่งใดสำคัญที่สุด,สำนักงานตำรวจแห่งชาติ,ข้าราชการตำรวจ,มวลชนสัมพันธ์,ทางราชการ ประชาชน ชุมชน และประเทศชาติ,4
17,ข้อใดไม่ใช่อุดมคติของตำรวจ,ไม่หวั่นไหวต่อความยากลำบาก ,มุ่งบำเพ็ญตนให้เป็นประโยชน์แก่ข้าราชการตำรวจ,ดำรงตนในยุติธรรม,กระทำการด้วยปัญญา,2
18,ข้าราชการตำรวจต้องปฏิบัติตามค่านิยมหลักของมาตรฐานจริยธรรมสำหรับเจ้าหน้าที่ของรัฐ ตามที่……….กำหนด, นายกรัฐมนตรี  ,ก.ต.ช.,ผู้ตรวจการแผ่นดิน,ปลัดสำนักนายกรัฐมนตรี,3
19,ข้อใดต่อไปนี้ไม่เป็นองค์ประกอบของประมวลจริยธรรมและจรรยาบรรณของตำรวจ,คุณธรรม ค่านิยมหลัก และอุดมคติของตำรวจ,จริยธรรมของตำรวจ,จรรยาบรรณของตำรวจ,วินัยของตำรวจ,4
20,เมื่อการใช้อาวุธ กำลัง หรือ ความรุนแรง  กรณีมีผู้เสียชีวิต ข้าราชการตำรวจต้องดำเนินการอย่างไร,ต้องรายงานเป็นหนังสือต่อผู้บังคับบัญชาตามระเบียบแบบแผนทันที,ต้องรายงานเฉพาะวาจาโดยเร็วเท่านั้น,ต้องรายงานเป็นหนังสือต่อผู้บังคับบัญชาก่อนใช้ อาวุธ กำลัง หรือ ความรุนแรง,ยืนหยัดเจตตนาไม่รักษากฎหมายให้มีการกระทำถึงที่สุดแก่ผู้กระทำผิด,1
21,สำนักงานตำรวจแห่งชาติประกาศเชิดชูเกียรติหน่วยงานและข้าราชการตำรวจในระดับสำนักงานตำรวจแห่งชาติ ที่ประพฤติปฏิบัติดีเยี่ยมตามประมวลจริยธรรมและจรรยาบรรณของตำรวจโดยระยะเวลาเป็นไปตาม,ทุกปี       ,๖ เดือน       ,ทุก ๒ ปี      ,ขึ้นอยู่กับนายกรัฐมนตรีกำหนด,1
