1,หากท่านต้องการจะพัฒนาบุคลิกภาพตนเอง ควรเริ่มจากสิ่งใด,สำรวจตนเองอยู่เสมอ,มีความตั้งใจแน่วแน่ที่ต้องการปรับปรุงแก้ไข,ยอมรับว่าตัวเราเองมีข้อบกพร่อง,มีผู้ชี้ให้เห็นข้อบกพร่องของตนเองก่อน,1
2,ข้อใดกล่าวถึง บุคลิกภาพ ได้ถูกต้อง,เครื่องวัดบุคลิกภาพได้จากปฏิกิริยาที่บุคคลอื่นแสดงต่อตนในทางที่ชอบหรือไม่ชอบ,การขาดความสามารถในการปรับตัวหรือการปรับบุคลิกภาพ อาจก่อให้เกิดโรคหย่อนสมรรถภาพทางเพศ,การแต่งกายให้ถูกกาลเทศะและวางท่าทางให้ดูสง่าผ่าเผย เพียงพอที่เป็นผู้มีบุคลิกภาพที่ดี,ต้องมีการปรับปรุงหรือพัฒนาบุคลิกภาพภายในก่อน เพื่อนำไปสู่การมีบุคลิกภาพภายนอกที่ประสบความสำเร็จได้,4
3,การแสดงออกบุคลิกภาพภายนอกข้อใด ทำให้ได้รับความชื่นชม ยอมรับและศรัทธาจากบุคคลอื่น,นาย ก. หลีกเลี่ยงการสบตาผู้ฟังที่ไม่สนใจฟังเขาพูด,นางสาว ข. ใช้ระดับน้ำเสียงที่ราบเรียบเพื่อโน้มน้าวใจให้ผู้บริหารอนุมัติโครงการของตน,นาย ค. ใช้ถ้อยสำนวนภาษาเปรียบเทียบเกินจริง เพื่อให้นางสาว ง. เกิดอารมณ์และความรู้สึกร่วม,นาย จ. การทำงานให้สำเร็จโดยอาศัยมือผู้อื่น คือใช้ความสามารถ กำลังและปัญญาของคนอื่นอย่างเต็มที่ ,4
4,การมีบุคลิกภาพที่ดีจะมีประโยชน์ให้บุคคลนั้นมีความสามารถในการรับรู้และเข้าใจสภาพความจริงได้อย่างถูกต้อง สอดคล้องกับสถานการณ์ในข้อใด,นักเรียนนายสิบตำรวจจบใหม่มีศรัทธาและเชื่อมั่นในความสามารถของตนเองว่า จะสามารถทำให้พื้นที่สามจังหวัดชายแดนใต้มีความสงบสุขได้,ชาวนาใช้ชีวิตอยู่อย่างคนจน เพราะเชื่อว่าทำนาอย่างไรก็ไม่มีวันร่ำรวย,ข้าราชการชั้นผู้น้อยซื้อรถเบนซ์ขับมาทำงาน เพื่อภาพลักษณ์ให้ดูน่าเชื่อถือ,สวญ. เผชิญหน้ากับปัญหาที่ยังจัดการไม่ได้ ด้วยมองปัญหานั้นให้เป็นเรื่องเล็ก,4
5,การเป็นผู้มีบุคลิกภาพที่ดีนำไปสู่ความสำเร็จในชีวิตและการทำงาน คือ มีความสามารถในการครองตนครองคน และครองงาน ลักษณะผู้นำข้อใดมีการแสดงออกที่สอดคล้องกับบุคลิกภาพที่ประสบความสำเร็จ,  สวญ. ไม่กวดขันให้ผู้ใต้บังคับบัญชาดำรงตนในความยุติธรรม ปล่อยให้แสวงหาผลประโยชน์จากการปฏิบัติหน้าที่เพื่อนำไปเลี้ยงดูภรรยาและลูก แสดงว่า สวญ.มองโลกตามความเป็นจริง,รอง ผกก.สืบสวนสอบสวน ตกลงรับข้อเสนอของพ่อค้าว่าจะช่วยเหลือคดียาเสพติดเพื่อแลกกับเงินช่วยเหลือปรับปรุงสถานีตำรวจให้ทันสมัย แสดงว่า รอง ผกก.สืบสวนสอบสวนเป็นผู้มีบุคลิกภาพสมาคมกับผู้อื่นได้ดี, รอง ผกก.ป้องกันปราบปราม สั่งให้สายตรวจช่วยแวะซื้อลูกอมที่ร้านเซเว่นฯ แล้วนำมาให้ตน เพื่อตรวจสอบใบเสร็จว่าสายตรวจได้ออกตรวจในพื้นที่ขณะรายงานทางวิทยุสื่อสารจริงหรือไม่ แสดงว่า รอง ผกก.ป้องกันปราบปรามเป็นผู้มีบุคลิกภาพเฉลียวฉลาด,รอง ผกก.จราจร มีความมั่นใจในตัวเองสูงเชื่อว่าแนวทางของตนจะทำให้การจัดจราจรมีความเรียบร้อย โดยไม่เปิดโอกาสหรือยอมรับฟังความคิดเห็นของ ด.ต.อยู่นาน ที่ปฏิบัติหน้าที่ด้านจราจรในพื้นที่กว่า 20 ปี,3
6,สิ่งใดเป็นจุดเริ่มต้นของการพัฒนาบุคลิกภาพภายใน,การฝึกควบคุมอารมณ์ให้มั่นคง                                                           ,การสร้างความเชื่อมั่นใจตนเอง                                ,ทัศนะคติ มองทุกสิ่งในด้านที่ดี                                ,มองปัญหาต่างๆ ให้เป็นเรื่องเล็ก,3
7,การพูดที่จะให้ประสบความสำเร็จ ผู้พูดควรให้ความสำคัญสิ่งใดมากที่สุด,เนื้อหาที่จะพูด,จิตวิทยาขึ้นต้นและการเดินเรื่อง,ศิลปะในการแสดงเหตุผล,บุคลิกภาพของผู้พูด,1
8,ข้อใด ไม่ใช่ ประเด็นพิจารณาการพูดให้ได้ดี ,มีศิลปะการโน้มน้าวใจ                                                           ,มีศิลปะในการใช้น้ำเสียง                                ,รู้จักผู้ฟัง,การใช้ถ้อยคำที่เฉียบขาด,4
9,บุคคลที่มีมนุษยสัมพันธ์ที่ดี มีลักษณะอย่างไร,มีทัศนะคติเชิงบวก,มีการปรับตัวเข้ากับผู้อื่นได้ในทุกสถานการณ์, มีความเอื้อเฟื้อและรู้กาลเทศะ,มีศิลปะในการสนทนา,4
10,ข้อใด ไม่ใช่ องค์ประกอบการสร้างความประทับใจ,มีบุคลิกภาพภายในและภายนอกที่ดี,มีศิลปะการใช้น้ำเสียง,การรับฟังผู้อื่นอย่างตั้งใจ,มีปฏิญาณไหวพริบ,3
