1,วัตถุประสงค์ของการสื่อสารโดยการพูด คือ,เพื่อถ่ายทอดข้อมูลหรือแนวคิดให้ผู้ฟังเข้าใจ และมีทัศนคติคล้อยตามผู้นำเสนอ,เพื่อถ่ายทอดเนื้อหาและแนวคิดให้ผู้ฟังเข้าใจ และ/หรือมีทัศนคติคล้อยตามผู้นำเสนอ,เพื่อถ่ายทอดเนื้อหาหรือแนวคิดให้ผู้ฟังเข้าใจ และมีทัศนคติคล้อยตามผู้นำเสนอ,เพื่อถ่ายทอดข้อมูลหรือแนวคิดให้ผู้ฟังเข้าใจ และ/หรือมีทัศนคติคล้อยตามผู้นำเสนอ,4
2,ข้อใดกล่าวถึง การวิเคราะห์ผู้ฟัง ได้ถูกต้อง,วิเคราะห์ผู้ฟังเพื่อจัดเตรียมเนื้อหาและวิธีการนำเสนอ,ประเด็นการวิเคราะห์เริ่มจากรู้เป้าหมายหลักของผู้ฟัง,วิเคราะห์ผู้ฟังเพื่อสร้างความมั่นใจในการนำเสนอ,ความรู้ของผู้ฟังเป็นตัวกำหนดขอบเขตเนื้อหาการนำเสนอ,1
3,วิธีการสรุปในการนำเสนอต้องทำอย่างไร,สรุปประเด็นหลัก ประเด็นรอง และประเด็นย่อย,ให้เห็นภาพเชื่อมโยงประเด็นต่างๆ,พูดให้เกิดการพิจารณา กระทำการ หรือให้ความมั่นใจ,สามารถตอบวัตถุประสงค์ของการนำเสนอ,1
4,ข้อใด ไม่ถูกต้อง ในการตอบคำถามผู้ฟัง,อย่าใช้เวลาตอบคำถามกับคนใดคนหนึ่งมากเกินไป,ตอบตรงประเด็นก่อน แล้วค่อยอธิบายรายละเอียด,ถ้ามีคำถามก่อกวน เชิญเขาให้ออกจากห้อง,ทวนคำถาม ถ้าจำเป็น,3
5,การลดความประหม่าหรืออาการตื่นเต้นที่ดีที่สุด คือ,การฝึกซ้อม,ไปถึงสถานที่นำเสนอก่อนเวลา,เตรียมทุกอย่างให้พร้อมล่วงหน้า,หายใจเข้า-ออก ลึกๆ ช้าๆ,1
6,การพูดที่จะให้ประสบความสำเร็จ ผู้พูดควรให้ความสำคัญสิ่งใดมากที่สุด,การขึ้นต้นและการเดินเรื่อง ,เนื้อหาที่จะพูด                                       ,ศิลปะในการแสดงเหตุผล                            ,บุคลิกภาพของผู้พูด,2
7,อะไรเป็นเครื่องบ่งชี้ว่ามีความสามารถในการพูดได้ดี,ใช้น้ำเสียงที่ราบเรียบ,รักษาจังหวะการพูดอย่างสม่ำเสมอ,ลำดับเนื้อหาตามที่ผู้พูดต้องการ,พูดตรงประเด็นและเป็นประโยชน์    ,4
8,ข้อใด ไม่ใช่ วัตถุประสงค์ของการสื่อสารโดยการพูด,เพื่อถ่ายทอดข้อมูลให้ผู้ฟังมีความเข้าใจ,เพื่อให้ผู้ฟังมีข้อมูลในการตัดสินใจ,เพื่อให้ผู้ฟังมีทัศนคติคล้อยตามผู้นำเสนอ,เพื่อให้เกิดแนวคิดแก่ผู้ฟัง,2
9,ข้อใด ไม่ใช่ ความจำเป็นต้องฝึกซ้อมการนำเสนอ,ช่วยพัฒนาการแสดงออก,ช่วยประมาณเวลาการนำเสนอ,ช่วยแสดงออกภาษากายให้สอดคล้อง,ช่วยปรับปรุงเนื้อหาให้เหมาะสมขึ้น,3
10,ท่านคิดว่าการนำเสนอมีความหมายอย่างไร,การพูดเพื่อให้ผู้อื่นคล้อยตามในเวลาที่จำกัด เพื่อสนองความต้องการของผู้พูด,การถ่ายทอดให้ผู้ฟังเข้าใจตามแนวความคิดของผู้พูด ภายในระยะเวลาที่กำหนดและบรรลุตามเป้าหมายที่ต้องการ,การพูดโน้มน้าวให้ผู้ฟังเชื่อถือ เห็นด้วย ตามช่วงระยะเวลาที่กำหนด,การถ่ายทอดเรื่องราวที่ทำให้ผู้ฟังสนใจและนำไปปฏิบัติ โดยคำนึงถึงเป้าหมายเป็นหลักสำคัญ,2
11,สิ่งที่ยากสุดในการควบคุมการนำเสนอ,ผู้พูด,ผู้ฟัง,วิธีการนำเสนอ,เนื้อหาที่นำเสนอ,4
12,การสร้างความมั่นใจและการมีมาด (Poise) จำเป็นต้องเตรียมจุดเริ่มต้นและลงท้ายอย่างไร,ทักทาย  สบสายตา ต้อนรับ สรุป กล่าวลา,กล่าวนำ สบสายตา ยิ้มแย้ม เรียบเรียงคำพูด ตั้งใจถ่ายทอด,แนะนำตัว ทักทาย รู้สึกเป็นเกียรติและยินดี หวังให้ปฏิบัติ เกิดการยอมรับ,ทักทาย แนะนำตัว รู้สึกเป็นเกียรติ หวังเป็นอย่างยิ่งว่า มีความมั่นใจว่า,4
13,การสร้างความมั่นใจและการมีมาด (Poise) ข้อใดกล่าวผิด ,เริ่มทักทาย แนะนำตัว “รู้สึกเป็นเกียรติหรือยินดี” ,มีสติ ใช้ภาษาพูดเป็นธรรมชาติ แต่อย่าอ่านให้ฟัง,พูดภาษาอังกฤษคำภาษาไทยคำ เพื่อแสดงความเป็นสากล,ควรลงท้ายว่า “หวังเป็นอย่างยิ่งว่า หรือมีความมั่นใจว่า”,3
14,การควบคุมผู้ฟังในการนำเสนอ มีหลักปฏิบัติอย่างไร,รู้จักผู้ฟัง พูดจาไพเราะ สบตาและให้เกียรติผู้ฟัง,สบตาผู้ฟัง ใช้ภาษาง่าย ให้เกียรติและรู้พื้นฐานผู้ฟัง,ให้เกียรติ ใช้ภาษาง่าย รู้พื้นฐานผู้ฟัง รู้ความต้องการและสังเกตพฤติกรรม,ให้เกียรติ สบตาผู้ฟัง ไม่ใช้ศัพท์เทคนิค รู้พื้นฐานและความต้องการผู้ฟัง,4
