1," ตามกฎกระทรวงฉบับที่ 12 (พ.ศ. 2543) ซึ่งออกตามความพระราชบัญญัติวิธีปฏิบัติราชการทาง ปกครอง พ.ศ. 2539 มาตรา 5 กำหนดให้การดำเนินการของเจ้าหน้าที่เกี่ยวกับการจัดหาในข้อใดดังต่อไปนี้ เป็นคำสั่งทางปกครอง

(1)  การสั่งรับ  หรือไม่รับคำเสนอขาย รับจ้าง  แลกเปลี่ยน ให้เช่า ซื้อ เช่า หรือให้สิทธิประโยชน์
(2)  การอนุมัติสั่งซื้อ จ้าง แลกเปลี่ยน เช่า ขาย ให้เช่า หรือให้สิทธิประโยชน์
(3)  การสั่งยกเลิกกระบวนการพิจารณาคำเสนอ  หรือการดำเนินการอื่นในลักษณะเดียวกัน
(4)  การสั่งให้เป็นผู้ทิ้งงาน",1(1)  การสั่งรับ  หรือไม่รับคำเสนอขาย รับจ้าง  แลกเปลี่ยน ให้เช่า ซื้อ เช่า หรือให้สิทธิประโยชน์,2(1)  การสั่งรับ  หรือไม่รับคำเสนอขาย รับจ้าง  แลกเปลี่ยน ให้เช่า ซื้อ เช่า หรือให้สิทธิประโยชน์ และ(2)  การอนุมัติสั่งซื้อ จ้าง แลกเปลี่ยน เช่า ขาย ให้เช่า หรือให้สิทธิประโยชน์,3(1)  การสั่งรับ  หรือไม่รับคำเสนอขาย รับจ้าง  แลกเปลี่ยน ให้เช่า ซื้อ เช่า หรือให้สิทธิประโยชน์ และ(2)  การอนุมัติสั่งซื้อ จ้าง แลกเปลี่ยน เช่า ขาย ให้เช่า หรือให้สิทธิประโยชน์ และ(3)  การสั่งยกเลิกกระบวนการพิจารณาคำเสนอ  หรือการดำเนินการอื่นในลักษณะเดียวกัน,4(1)  การสั่งรับ  หรือไม่รับคำเสนอขาย รับจ้าง  แลกเปลี่ยน ให้เช่า ซื้อ เช่า หรือให้สิทธิประโยชน์ และ(2)  การอนุมัติสั่งซื้อ จ้าง แลกเปลี่ยน เช่า ขาย ให้เช่า หรือให้สิทธิประโยชน์ และ(3)  การสั่งยกเลิกกระบวนการพิจารณาคำเสนอ  หรือการดำเนินการอื่นในลักษณะเดียวกันและ(4)  การสั่งให้เป็นผู้ทิ้งงาน,4
2,การมอบอำนาจในการจัดหาพัสดุ สามารถดำเนินการได้หรือไม่ และตามกฎหมาย หรือ ระเบียบใด,1ไม่ได้,2ได้  ตามระเบียบสำนักนายกรัฐมนตรีว่าด้วยการพัสดุ พ.ศ. 2535 และที่แก้ไขเพิ่มเติม ข้อ 9,3ได้  ตามพระราชบัญญัติระเบียบบริหารราชการแผ่นดิน (ฉบับที่ 7) พ.ศ. 2550 มาตรา 4,4คำตอบที่ 2 และ 3 ถูก,2
3,ข้อใดกล่าวถึงความสัมพันธ์ระหว่าง งบประมาณ และ การพัสดุ ได้อย่างถูกต้อง ,1ก่อนส่วนราชการทราบยอดเงินที่จะนำมาใช้ในการจัดหา ให้ส่วนราชการเตรียมการจัดหาไว้ก่อน, 2เมื่อส่วนราชการทราบยอดเงินที่จะนำมาใช้ในการจัดหา (รัฐสภาหรือสำนักงบประมาณ อนุมัติ แล้วแต่กรณี) ให้ส่วนราชการรีบดำเนินการจัดหาตามแผน,3ให้ส่วนราชการลงนามในสัญญาเมื่อได้รับจัดสรรงบประมาณแล้ว,4ถูกทุกข้อ,4
4,ข้อใดต่อไปนี้เป็นกำหนดรายละเอียดคุณลักษณะเฉพาะ (Specification) ที่เข้าข่ายเป็นการ  “ล็อคสเป็ค”,1การกำหนดให้ใกล้เคียงกับยี่ห้อใดยี่ห้อหนึ่ง,2ระบุยี่ห้อสิ่งของที่จะซื้อ โดยไม่เข้าข่ายข้อยกเว้นตามที่ระเบียบกำหนด,3การกำหนดในลักษณะเปิดกว้าง แต่มีผู้มาเสนอราคาเพียงรายเดียว,4คำตอบที่ 1 และ 2 ถูก,4
5,"ข้อใดต่อไปนี้เป็นการจัดลำดับกระบวนการจัดซื้อจัดจ้างที่ถูกต้อง
(1)การกำหนดความต้องการและการของบประมาณ
(2)  การเตรียมการจัดซื้อจัดจ้าง
(3)  การจัดซื้อจัดจ้าง
(4)  การบริหารสัญญา
(5)  การควบคุมและจำหน่ายพัสดุ",1 (1) (2) (3) (4) (5),2(2) (1) (3) (4) (5),3(1) (2) (4) (3) (5),4(1) (2)(3) (5) (4),1
6,"ข้อใดต่อไปนี้ เป็นวิธีจัดซื้อจัดจ้างที่มีการแข่งขันราคา
(1)  วิธีตกลงราคา
(2)  วิธีสอบราคา
(3)  วิธีประกวดราคา
(4)  วิธีพิเศษ
(5)  วิธีกรณีพิเศษ
(6)  วิธีประกวดราคาด้วยวิธีการทางอิเล็กทรอนิกส์", 1(2) (3) (4) (5),2 (2) (3) (6),3.  (1) (2) (3) (4) (5),4(2) (3) (5) (6),2
7, ข้อใดต่อไปนี้ อยู่ในความหมายของการแบ่งซื้อหรือแบ่งจ้าง,1การลดวงเงินที่จะซื้อหรือจ้างในครั้งเดียวกันออกเป็นหลายครั้ง และมีผลให้วิธีการจัดซื้อจัดจ้างเปลี่ยนแปลงไป โดยไม่มีเหตุผล ความจำเป็น และมีเจตนาที่จะหลีกเลี่ยง ,2การลดวงเงินที่จะซื้อหรือจ้างในครั้งเดียวกันออกเป็นหลายครั้ง และมีผลให้ผู้มีอำนาจอนุมัติสั่งซื้อหรือสั่งจ้างเปลี่ยนแปลงไป โดยไม่มีเหตุผล ความจำเป็น และมีเจตนาที่จะหลีกเลี่ยง ,3การลดวงเงินที่จะซื้อหรือจ้างในครั้งเดียวกันออกเป็นหลายครั้ง และมีผลให้วิธีการจัดซื้อจัดจ้างหรือผู้มีอำนาจอนุมัติสั่งซื้อหรือสั่งจ้างเปลี่ยนแปลงไป โดยมีเหตุผล ความจำเป็น และไม่มีเจตนาที่จะหลีกเลี่ยง ,4คำตอบที่ 1 และ 2 ถูก,4
8," ข้อใดต่อไปนี้ จัดลำดับอำนาจหน้าที่ของคณะกรรมการที่ทำหน้าที่พิจารณาผลเพื่อหาตัวผู้ขายหรือผู้รับจ้าง ได้ถูกต้อง
(1)  ตรวจสอบผู้เสนอราคาที่มีผลประโยชน์ร่วมกัน
(2) เปิดซองใบเสนอราคาเฉพาะผู้ไม่มีผลประโยชน์ร่วมกัน อ่านแจ้งราคา บัญชีรายการเอกสาร หลักฐาน พร้อมทั้งลงชื่อกำกับ
(3) ตรวจสอบคุณสมบัติของผู้เสนอราคา ใบเสนอราคา แคตตาล็อก หรือแบบรูปรายการละเอียด แล้วคัดเลือกผู้เสนอราคาที่ถูกต้อง ตามเงื่อนไขในเอกสารสอบราคา
(4) คัดเลือกพัสดุหรืองานจ้างที่มีคุณภาพ และคุณสมบัติเป็นประโยชน์ต่อทางราชการ
(5)  เสนอให้ซื้อหรือจ้างจากรายที่คัดเลือกไว้แล้วซึ่งเสนอราคาต่ำสุด",1(2) (1) (3) (4) (5),2(2) (3) (1) (4) (5),3(1) (2) (3) (4) (5),4(1) (2) (4) (3) (5),3
9, พัสดุ ในระเบียบสำนักนายกรัฐมนตรีว่าด้วยการพัสดุ พ.ศ. 2535 และที่แก้ไขเพิ่มเติม หมายความถึง สิ่งใด ,1รถยนต์,2โต๊ะทำงานระดับ 3,3อาคารที่ทำการ,4ถูกทุกข้อ,4
10,การจัดหาสิ่งของที่โดยสภาพใช้แล้วย่อมสิ้นเปลืองหมดไป  แปรสภาพ และมีราคาต่อหน่วยไม่เกิน 5 พันบาท หมายถึง การจัดหาอะไร ,1ครุภัณฑ์,2วัสดุ,3ที่ดิน,4สิ่งก่อสร้าง,2
