1,หากเราให้นิยามว่า สิทธิมนุษยชน หมายถึง สิ่งจำเป็นที่มนุษย์ทุกคนต้องได้รับในฐานะที่เป็นมนุษย์เพื่อให้สามารถอยู่รอด ให้มีความมั่นคงในชีวิตและสามารถพัฒนาตนเอง สิ่งใดต่อไปนี้ อะไรที่ ไม่ใช่ สิ่งจำเป็นที่มนุษย์ทุกคนต้องได้รับในฐานะที่เป็นมนุษย์ ,การได้รับการศึกษา การมีงานทำ,เสื้อผ้า ยารักษาโรค ที่อยู่อาศัย อาหารและน้ำ,การมีฐานะทางเศรษฐกิจและสังคมเป็นที่ยอมรับ,การเข้าถึงและใช้ประโยชน์จากทรัพยากรธรรมชาติ,3
2,ข้อใดจัดเป็นสิทธิมนุษยชนขั้นพื้นฐาน,สิทธิที่จะมีงานทำ,สิทธิในชีวิตและร่างกาย,สิทธิในการได้รับการศึกษา,สิทธิในการสร้างครอบครัว,2
3,ข้อใดกล่าวถึงสิทธิตามธรรมชาติ และสิทธิตามกฎหมาย ได้ถูกต้อง,สิทธิในทรัพย์สินทางปัญญา สิทธิชุมชนและการเข้าถึงบริการสาธารณะ เป็นสิทธิตามกฎหมาย,สิทธิในการมีชีวิตอยู่รอด เสรีภาพ และความมั่นคงแห่งบุคคล เป็นสิทธิตามกฎหมาย    ,สิทธิในการศึกษา สิทธิการติดต่อสื่อสาร เป็นสิทธิตามธรรมชาติ,สิทธิในการครองชีพอันเพียงพอสำหรับสุขภาพและการรักษาทางการแพทย์ เป็นสิทธิตามธรรมชาติ,1
4,ข้อใด ไม่ใช่ ที่มาของสิทธิตามธรรมชาติ,หลักของเหตุและผล,หลักนิติรัฐ,หลักความชอบธรรม,หลักปัจเจกชนนิยม,2
5,การกระทำข้อใด ถือว่าเป็นการไม่เลือกปฏิบัติ (Non-Discrimination),การปฏิบัติที่ไม่สองมาตรฐานและเอาใจเขามาใส่ใจเรา,การปฏิบัติไม่เป็นธรรมหรือปฏิเสธที่จะปฏิบัติเนื่องจากเชื้อชาติ ศาสนา,การปฏิบัติต่อบุคคลใดโดยไม่เท่าเทียมกันและไร้เหตุผล,การปฏิบัติที่แตกต่าง เพราะความชอบหรือไม่ชอบโดยปราศจากเหตุผลที่สามารถรับฟังได้,1
6,ข้อใด ขัด กับหลักความเสมอภาคและการไม่เลือกปฏิบัติตามรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2550,คนรวยต้องเสียภาษีมากกว่าคนจน เพราะคนรวยมีรายได้มากกว่าคนจน,ผู้อำนวยการโรงเรียนแห่งหนึ่งขอให้เด็กที่เกิดจากแม่ที่ติดเชื้อเอดส์ออกไปเรียนที่อื่น เพราะผู้ปกครองนักเรียนจะไม่นำลูกหลานของตนมาเรียนร่วมชั้นเรียน,ข้าราชการหรือพนักงานองค์การและหน่วยงานของรัฐผู้ใด ผลิต จำหน่าย นำเข้า หรือส่งออกยาเสพติดให้โทษ หรือร่วมมือสนับสนุนในการกระทำดังกล่าว ต้องระวางโทษเป็น 3 เท่า ของโทษที่กำหนดไว้สำหรับความผิดนั้น,โรงเรียนมัธยมศึกษาแห่งหนึ่งมีข้อกำหนดในการรับนักเรียนเข้าศึกษาต่อในระดับมัธยมศึกษาปีที่ 1 ว่า นักเรียนที่มีความสามารถพิเศษ เช่น นักกีฬา นักดนตรี สามารถเข้าศึกษาในโรงเรียนได้โดยไม่ต้องสอบเข้าหรือจับสลาก,2
7,ข้อใดแสดงถึงการเคารพศักดิ์ศรีของความเป็นมนุษย์,การเคารพในเชื้อชาติศาสนา,การเคารพในถิ่นกำเนิดของบุคคล,การเคารพสถานภาพทางสังคม,การเคารพเกียรติยศชื่อเสียงของบุคคล,3
8,รัฐควรต้องใช้หลักการใดที่สามารถดำเนินการให้ความคุ้มครองสิทธิมนุษยชนได้อย่างมีประสิทธิภาพ,หลักเหตุผล,หลักนิติธรรม,หลักความเสมอภาค,หลักการไม่เลือกปฏิบัติ,2
9,ข้อใดผิดหลักการคุ้มครองตามหลักสิทธิมนุษยชน,การปิดถนนประท้วง,การกำหนดค่าแรงขั้นต่ำ,การเข้ารับการศึกษาเล่าเรียน,การแสดงความคิดเห็นทางการเมือง ,1
10,ข้อใดถูกต้องตามหลักสิทธิมนุษยชน,สิทธิมนุษยชนและสิทธิตามกฎหมาย มีความหมายไม่แตกต่างกัน เพราะผู้ละเมิดกฎหมายคือ ผู้ละเมิดสิทธิมนุษยชน    ,บุคคลจะอ้างว่าตนมีสิทธิมนุษยชนไม่ได้ ถ้าไม่มีกฎหมายออกมารองรับ ดังนั้น สิทธิตามกฎหมายจึงมีความหมายไม่ต่างกัน  ,รัฐสามารถอ้างว่าต้องออกกฎหมายเพื่อจำกัดสิทธิเสรีภาพของประชาชนได้ทุกกรณี แม้กฎหมายนั้นจะขัดหรือแย้งต่อหลักสิทธิมนุษยชน,รัฐใดจะตีความหรือออกกฎหมายมาขัดหรือแย้งต่อสาระของสิทธิมนุษยชนไม่ได้  ,4
