1,ข้อใดกล่าวถึงพระบรมราโชวาท ไม่ถูกต้อง,คำตักเตือนและสั่งสอนที่รวบรวมไว้ในราชกิจจานุเบกษา,คำแนะนำกระบวนการบริหารงานให้กับหน่วยงาน,แทรกหลักธรรมหรือคติธรรมสำหรับประพฤติปฏิบัติ,มุ่งเน้นย้ำให้ตระหนักถึงภาระหน้าที่ความรับผิดชอบของบุคคลหรือหน่วยงาน,1
2,“ถ้อยคำที่พระมหากษัตริย์แนะนำ ตักเตือนหรือสั่งสอน มักกล่าวแก่ที่ประชุมที่มีประโยชน์ในการดำเนินชีวิตในด้านต่างๆ สามารถนำไปใช้ในชีวิตประจำวันได้ มีประโยชน์ทั้งกับตัวเองและสังคมบ้านเมือง” เป็นความหมายของข้อใด,พระราชดำรัส,พระราชดำริ,พระบรมราโชวาท,พระบรมราโชบาย,3
3,“กระบวนการที่บุคคลถูกกระตุ้นจากสิ่งเร้า โดยจงใจให้กระทำหรือดิ้นรนเพื่อให้บรรลุจุดประสงค์บางประการ มีความเข้มข้นและมีทิศทางสู่เป้าหมายชัดเจน” เป็นความหมายของข้อใด,แรงจูงใจ,ทัศนคติ,เจตคติ,การเรียนรู้  ,1
4,ข้อใด ไม่ใช่ ผลที่เกิดจากการเรียนรู้,เปลี่ยนแปลงพฤติกรรม,ความรู้ ความเข้าใจ,เกิดการกระทำ ,ความรู้สึก,1
5,“หลักหรือปทัสถานของสังคมกำหนดความถูก ความผิด หรือความดี ความเลว” หมายถึงสิ่งใด,คุณธรรม,ศีลธรรม, จริยธรรม,จรรยาบรรณ,2
6,ข้อใด ไม่ใช่ หลักคุณธรรมและจริยธรรมในวิชาชีพข้าราชการพึงยึดถือเป็นแนวทางการปฏิบัติราชการ 10 ประการ ตามพระราชนิพนธ์ในรัชกาลที่ 6 ,ความอดทน หนักแน่น,ความเพียร                                     ,ความซื่อตรงต่อหน้าที่,ความสามารถ,1
7,คุณธรรมประการแรกของคุณธรรม 4 ประการ คือข้อใด,การรู้จักข่มใจตนเอง ฝึกใจตนเองให้ประพฤติปฏิบัติอยู่ในสัจความดีนั้น,การรักษาสัจ ความจริงใจต่อตนเอง รู้จักสละประโยชน์ส่วนน้อยของตนเพื่อประโยชน์ส่วนใหญ่ของบ้านเมือง,การรู้จักละวางความชั่ว ความทุจริต และรู้จักเสียสละประโยชน์ส่วนน้อยของตน เพื่อประโยชน์ส่วนใหญ่ของบ้านเมือง,การอดทน อดกลั้นและอดออมไม่ประพฤติล่วงความสัตย์สุจริตไม่ว่าจะด้วยเหตุประการใด,2
8,พระบรมราโชวาทในพิธีพระราชทานกระบี่แก่ว่าที่ร้อยตำรวจตรีที่สำเร็จการศึกษาชั้นสูงสุดจากโรงเรียนนายร้อยตำรวจและในโอกาสต่างๆ ทุกตัวอักษรที่สดับตรับฟังเป็นแรงจูงใจให้ข้าราชการตำรวจทุกคนเกิดสิ่งใดในการทำงาน,ช่วยเพิ่มประสิทธิภาพในการบริหารงาน,ช่วยเพิ่มความอดทน อดกลั้นในการทำงาน,ช่วยเพิ่มพลัง มีความพยายามในการทำงาน,ช่วยเพิ่มพลัง ความพยายาม และการเปลี่ยนแปลงรูปแบบการทำงาน,4
9,“ตำรวจมีหน้าที่รักษาความสงบเรียบร้อยของบ้านเมือง และมีอำนาจที่จะสอบสวน จับกุม คุมขัง ปราบปราม เป็นเครื่องมือสำคัญในการปฏิบัติหน้าที่ อำนาจเหล่านี้สามารถสร้างคุณและโทษได้เท่าๆ กัน สุดแต่จะใช้ ทุกคนจึงจำเป็นต้องควบคุมจิตใจให้มั่นคง เที่ยงตรงอยู่ในความสัตย์สุจริต ไม่ใช้อำนาจที่มีอยู่ ด้วยอคติ หรือยอมให้ผู้อื่นมาแอบแฝงใช้อำนาจของตนโดยไม่เป็นธรรม” จากพระบรมราโชวาทของพระบาทสมเด็จพระเจ้าอยู่หัว มีใจความสำคัญในเรื่องใด,การรักษาความสัตย์สุจริต,การใช้อำนาจที่ปราศจากอคติ,การควบคุมจิตใจให้มั่นคง เที่ยงตรง,อำนาจในการสอบสวน จับกุม คุมขังและปราบปราม,2
10,“งานของตำรวจและทหารเป็นงานสำคัญยิ่ง ด้วยเกี่ยวข้องกับความมั่นคงปลอดภัยของประชาชนทุกคนและของชาติบ้านเมือง ...ผู้รับผิดชอบงานด้านนี้ จึงจำเป็นต้องมีสติรู้ตัว และวิจารณญาณที่ถูกต้องเที่ยงตรงเป็นเครื่องประกอบส่งเสริมในการปฏิบัติหน้าที่อย่างมาก” จากพระบรมราโชวาทฯ ข้อใดให้เหตุผลถึงความสำคัญของสติรู้หรือวิจารณญาณได้อย่างถูกต้องที่สุด,ความมีสติรู้ตัว จะช่วยให้บุคคลมีความยั้งคิดและความสุขุม รอบคอบ,วิจารณญาณ จะช่วยให้แต่ละคนมีความคิดวินิจฉัยที่ถ่องแท้เที่ยงตรงเสมอ,ความมีสติรู้ จะช่วยให้สามารถตัดสินชี้ขาดและปฏิบัติต่อปัญหาและสถานการณ์ต่างๆ ได้อย่างถูกต้อง ,วิจารณญาณ จะช่วยให้กระทำการใดๆ โดยไม่ประมาทพลั้งเผลอ อันอาจก่อให้เกิดความผิดพลาด เสียหาย หรือเป็นภัยอันตราย,1
