1,ข้อใดไม่ใช่ งานทะเบียนพล ที่เกี่ยวข้องกับฝ่ายอำนวยการตำรวจ,1การจัดทำทำเนียบกำลังพล,2การประเมินผลบุคคล,3การจัดเก็บเครื่องราชอิสริยาภรณ์,4การเลื่อนขั้นเงินเดือน การเลื่อนยศ,3
2,การรักษายอดกำลังพล ไม่เกี่ยวข้อง กับข้อใด,1ยอดกำลังพล,2ประมาณการสูญเสีย,3การดูแลสวัสดิการกำลังพล,4การทดแทนกำลังพล,3
3,การให้ข้อเสนอแนะ การจัดลำดับความเร่งด่วนในการแบ่งกำลังพลในแต่ละกลยุทธ์ ถือเป็นงานกำลังพลที่เกี่ยวข้องกับฝ่ายใด,1ฝ่ายการข่าว,2ฝ่ายส่งกำลังบำรุง,3ฝ่ายยุทธการ,4ฝ่ายประเมินผล,3
4,ข้อใดไม่ใช่ งานของฝ่ายอำนวยการ,1งานกำลังพล,2งานจราจร,3งานการข่าว,4งานส่งกำลังบำรุง,2
5,ข้อใดกล่าวถูกต้องเกี่ยวกับงานของฝ่ายอำนวยการ,1งานของฝ่ายอำนวยการมี 5 สายงาน,2งานของฝ่ายอำนวยการมี 3 สายงานหลัก,3งานของฝ่ายอำนวยการมี 8 สายงาน,4งานของฝ่ายอำนวยการ ไม่กำหนดสายงานที่ชัดเจน,1
6,“งานของฝ่ายอำนวยการตำรวจคือความมุ่งหมายในการช่วยเหลือผู้บังคับบัญชา” จริงหรือไม่ เพราะเหตุใด,1จริง เพราะงานของฝ่ายอำนวยการคือการช่วยเหลือผู้บังคับหน่วย,2จริง เพราะงานของฝ่ายอำนวการคือการวิเคราะห์และตัดสินใจแก่ผู้บังคับหน่วย,3ไม่จริง เพราะงานของฝ่ายอำนวยการ ไม่มีขอบเขตที่แน่นอน ชัดเจน,4ไม่จริง เพราะงานของฝ่ายอำนวยการ ไม่สามารถกำหนดจุดมุ่งหมายได้,1
7,การพัฒนาและการบำรุงรักษาขวัญกำลังใจของตำรวจ ทำได้หลายประการ ยกเว้นข้อใด,1การจัดการศพ,2การจัดโครงสร้างองค์การ,3การบริการกำลังพล,4บำเหน็จรางวัล,2
8,การจัดทำแผนและคำสั่งไปยังหน่วยรอง รูปแบบใดมีความเป็นทางการสูง,1การประชุมของผู้บังคับบัญชา,2การจัดทำประกาศ หรือหนังสือเวียน,3การเขียนโน๊ตย่อ โดยไม่ต้องลงนาม,4การวาดแผนภาพประกอบ เพื่อสื่อความเข้าใจ,2
9,การให้ข่าวสารของงานกำลังพลเป็นลายลักษณ์อักษร หัวข้อใดควรอยู่ในลำดับแรก,1การทดแทนกำลังพล,2การรักษายอดกำลังพล,3การพัฒนาและการรักษาขวัญ,4การรักษาวินัย กฎ ข้อบังคับ,2
10,การหาข้อมูลของฝ่ายตรงข้ามเกี่ยวกับจำนวนกำลังพล ถือเป็นงานด้านใด,1งานการผลิตข่าวกรอง,2งานการต่อต้านข่าวกรอง,3งานการศึกษาข่าวกรองกำลังพล,4ถูกทุกข้อ,3
