1,ข้อใดเกี่ยวข้องกับขอบเขตของงานบริการสังคม น้อยที่สุด,1การบรรเทาสาธารณะภัย,2การฝึกอบรมชุมชน,3การให้คำปรึกษาภาวะเศรษฐกิจ,4การทำงานองค์การชุมชน,3
2,ข้อใดไม่ใช่ประโยชน์ของงานบริการสังคม,1เพื่อช่วยสนับสนุนภารกิจของตำรวจ,2เพื่อช่วยแก้ไขปัญหาให้ประชาชนในภาวะไม่ปกติ,3เพื่อช่วยลดปัญหาจากภัยคุกคาม,4เพื่อให้ขวัญและกำลังใจตำรวจสูงขึ้น,4
3,การประชาสัมพันธ์เพื่อให้บริการสังคมมีวัตถุประสงค์ในข้อใด,1เพื่ออำนวยความสะดวกแก่ผู้ติดต่อหน่วยงานของตำรวจ,2เพื่อป้องกันและแก้ไขความเข้าใจผิด,3เพื่อปฏิบัติการทางจิตวิทยากับฝ่ายตรงข้าม,4ถูกทุกข้อ,4
4,การให้บริการและอำนวยความสะดวกแก่ประชาชน ตามระเบียบการตำรวจไม่เกี่ยวกับคดี ไม่เกี่ยวข้องกับข้อใด,1ป้องกันปราบปรามผู้กระทำผิดตามประมวลกฎหมายอาญา,2ช่วยเหลือคนเจ็บป่วยในการรักษาพยาบาลเบื้องต้น,3ช่วยเหลือคนแก่ เด็กและผู้หญิง ซึ่งอยู่ในลักษณะล่อแหลมต่อความไม่ปลอดภัย,4ระงับหรือป้องกันเหตุการณ์ที่อาจเป็นชนวนให้เกิดความผิดทางอาญาขึ้นได้,3
5,ข้อใดไม่ใช่ งานฝึกอบรมและมวลชนสัมพันธ์,1ผู้กองเหลือง ปฎิเสธการเข้าร่วมกิจกรรมชุมชนกับพรรคการเมืองคู่แข่ง,2หมวดเขียว ให้ข่าวสาร ข้อเท็จจริงด้านอุดมการณ์ตำรวจแก่เยาวชน,3ดาบแดง เข้าร่วมกิจกรรมหรือประเพณีของท้องถิ่น,4จ่าดำ จัดกิจกรรมรื่นเริงและสันทนาการ,1
6,การประชาสัมพันธ์เพื่อบริการสังคมในข้อใดไม่ถูกต้อง,1สำนักงานตำรวจแห่งชาติอาจมีการประชาสัมพันธ์ทั้งภายในและภายนอก,2งานประชาสัมพันธ์เป็นภารกิจหลักของตำรวจและให้ความสำคัญก่อนงานอื่น,3หน่วยงานภายในสำนักงานตำรวจแห่งชาติต้องจัดให้มีบุคลากรด้านประชาสัมพันธ์,4สำนักงานตำรวจแห่งชาติต้องมีการแถลงข้อเท็จจริงกับสังคมในบางกรณี,2
7,ขั้นตอนสุดท้ายของการทำงานองค์กรมวลชนเพื่อให้บริการสังคม คือข้อใด,1การให้ความรู้,2การมอบหมายภารกิจ,3การจัดตั้งองค์การ,4การติดตามผล,4
8,ข้อใดถือเป็นประเภทของการฝึกอบรมชุมชน,1การส่งเสริมการรวมกลุ่มของประชาชน,2การจัดอบรมให้ความรู้แก่ประชาชน,3การส่งวิทยากรไปให้ความรู้แก่ผู้เข้ารับการอบรม,4ถูกทุกข้อ,4
9,หน้าที่ของฝ่ายอำนวยการด้านบริการสังคมในข้อใด มีความเกี่ยวข้องกับผู้บังคับบัญชาน้อยที่สุด,1การจัดทำแผน/คำสั่งปฏิบัติการ,2การกำกับดูแลตามแผน,3การให้ข้อเสนอแนะต่อแผน,4การให้ข้อมูลข่าวสารบริการสังคม,3
10,ข้อใดไม่ใช่งานบริการสังคมของตำรวจ,1การให้ความรู้กับชุมชนด้านป้องกันยาเสพติด,2การบรรเทาสาธารณะภัยเมื่อเกิดอุทกภัย,3การให้ความรู้ด้านพรรคการเมืองกับประชาชนในวงเหล้า,4การปลูกฝังอุดมการณ์เทิดทูนสถาบันให้กับเยาวชน,3
