1,ระบบจัดเก็บเอกสารราชการ พัฒนาขึ้นมาในรูปแบบใด ?,1Window Application,2Web Application,3Mobile Application,4Mac Application,2
2,ข้อใดมิใช่วัตถุประสงค์หลักของระบบจัดเก็บเอกสารราชการ ?,1เสริมสร้างวินัยและลักษณะนิสัยที่ดี,2ผู้ใช้สามารถสืบค้นเอกสารของแต่ละหน่วยงานได้,3แต่ละหน่วยสามารถจัดเก็บเอกสารได้อย่างอิสระจากกัน ทำให้สะดวกต่อการสืบค้น,4ผู้ใช้งานสามารถเข้าถึงข้อมูลเอกสารได้ทุกที่ผ่านระบบออนไลน์,1
3,ขั้นตอนก่อนทำการ Login เข้าสู่ระบบจัดเก็บเอกสารจะต้องทำอะไรก่อน ?,1กรอกรหัสผ่าน,3เลือกรายชื่อหน่วยงานตนเอง ,3เลือกชื่อหน่วยงาน ฝอ.6 บก.อก.  และกรอกรหัสผ่าน,4เลือกรายชื่อหน่วยงานตนเอง และกรอกรหัสผ่าน,4
4,ระบบจัดเก็บเอกสารราชการได้กำหนดแฟ้มหลักไว้จำนวนเท่าไร ? ,111แฟ้ม,212 แฟ้ม,313 แฟ้ม,414 แฟ้ม,3
5,ระบบจัดเก็บเอกสารราชการได้กำหนดแฟ้มหลัก โดยเทียบเคียงกับหมวดหมู่การจัดโครงสร้างของอะไร ?,1ศปก.ตร.,2ศปก.บช.ศ.,3ห้องสมุดมหาวิทยาลัย,4ห้องสมุดแห่งชาติ,1
6,ระบบจัดเก็บเอกสารราชการ หากผู้ใช้ต้องการเลือกใช้เฉพาะบางหมวดจะต้องเข้าไปที่เมนูใด ?,1ตั้งค่า,2แฟ้มหลัก,3แฟ้มรอง,4รายการหมวด,4
7,ระบบจัดเก็บเอกสารราชการ เมื่อผู้ใช้ต้องการบันทึก แก้ไข หรือลบรายการแฟ้มหลัก จะต้องเข้าไปที่เมนูใด ?,1ตั้งค่า,2แฟ้มหลัก,3แฟ้มรอง,4บันทึกเอกสาร,4
8,ในเมนูรายการแฟ้มหลักในระบบจัดเก็บเอกสารราชการนั้น ผู้ใช้สามารถทำการแก้ไขข้อมูลรายการแฟ้มหลัก ยกเว้นข้อใด ?,1เพิ่มรายการแฟ้มหลัก,2แก้ไขรหัสแฟ้มหลัก ,3ลบรายการแฟ้มหลัก,4แก้ไขรายการแฟ้มหลัก,2
9,ระบบจัดเก็บเอกสารราชการ เมื่อผู้ใช้ต้องการบันทึก แก้ไข หรือลบรายการแฟ้มรอง จะต้องเข้าไปที่เมนูใด ?,1ตั้งค่า,2แฟ้มหลัก,3แฟ้มรอง,4บันทึกเอกสาร,3
10,ในเมนูรายการแฟ้มรองในระบบจัดเก็บเอกสารราชการนั้น ผู้ใช้สามารถทำการแก้ไขข้อมูลรายการแฟ้มรอง ยกเว้นข้อใด ?,1เพิ่มรายการแฟ้มรอง,2แก้ไขรายการแฟ้มรอง,3ลบรายการแฟ้มรอง,4แก้ไขรหัสแฟ้มรอง ,4
11,การบันทึกเอกสารของระบบจัดเก็บเอกสารราชการข้อใดต่อไปนี้ ไม่ถูกต้อง ?,1เลือกรายการหมวดของเอกสาร,2เลือกรายชื่อแฟ้มหลักของเอกสาร,3เลือกรายชื่อแฟ้มรองของเอกสาร,4เลือกรายชื่อหน่วยงานตนเอง,4
12,การตั้งชื่อไฟล์เอกสาร เพื่อนำเข้าระบบจัดเก็บเอกสารราชการ ต้องตั้งชื่อไฟล์อย่างไร ?,1ตั้งชื่อไฟล์ตามรหัสของเอกสารจำนวน 9 หลัก,2ตั้งชื่อไฟล์ตามชื่อเรื่องของเอกสาร,3ตั้งชื่อไฟล์ตามข้อความสำคัญ ( key word) ของเอกสาร,4ตั้งชื่อไฟล์อย่างไรก็ได้,1
13,การสแกนเอกสาร เพื่อนำเข้าระบบจัดเก็บเอกสารราชการ ต้องสแกนเป็นไฟล์นามสกุลใด ?,1เป็นไฟล์นามสกุล XPS,2เป็นไฟล์นามสกุล PNG,3เป็นไฟล์นามสกุล PDF,4เป็นไฟล์นามสกุล JPG,3
14,ถ้าต้องการให้เอกสารที่สแกนเข้าระบบเข้าระบบจัดเก็บเอกสารราชการเป็นเอกสารลับเฉพาะหน่วยงานควรเลือกสถานะของเอกสารเป็นอะไร ?,1ทำลาย,2ไม่ปกปิด,3ปกปิด,4ไม่ทำลาย,3
15,ข้อใดไม่ใช่ขั้นตอนในการบันทึกรายการแฟ้มหลักของระบบจัดเก็บเอกสารราชการ ?,1เข้าเมนูแฟ้มหลัก,2เลือกรายชื่อแฟ้มหลักของเอกสาร,3เลือกแฟ้มหมวดเอกสาร,4ถูกทั้งข้อ 1 และข้อ 3,2
16,ข้อใดไม่ใช่ขั้นตอนในการบันทึกรายการแฟ้มรองของระบบจัดเก็บเอกสารราชการ ?,1เข้าเมนูแฟ้มรอง,2เลือกรายชื่อแฟ้มรองของเอกสาร,3เลือกรายชื่อแฟ้มหลักของเอกสาร,4เลือกแฟ้มหมวดเอกสาร,2
17,ในการค้นหาเอกสาร ในระบบจัดเก็บเอกสารราชการนั้น ผู้ใช้สามารถล้างคำค้นที่พิมพ์ไว้ได้โดยกดปุ่มใด ?,1Save,2Cancel,3Clear,4ESC,3
18,ในขั้นตอนการบันทึกเอกสารของระบบจัดเก็บเอกสารราชการ ที่ช่องเลขที่ควรกรอกข้อมูลอะไร ?,1เลขประจำตัว,2เลขรหัสเอกสาร,3เลขที่รับหนังสือ,4เลขที่ของหนังสือ,4
19,ในขั้นตอนการบันทึกเอกสารของระบบจัดเก็บเอกสารราชการ ที่ช่องลงวันที่ควรกรอกข้อมูลอะไร ?,1วันที่บันทึกข้อมูล,2วันที่สแกนเอกสาร,3วันที่รับหนังสือ,4วันที่ของหนังสือ,4
20,ในขั้นตอนการบันทึกเอกสารของระบบจัดเก็บเอกสารราชการ ที่ช่องเจ้าของเรื่องควรกรอกข้อมูลอะไร ?,1ชื่อหน่วยงาน,2ชื่อหนังสือ,3ชื่อเรื่อง,4ชื่อแฟ้ม,1
21,ในขั้นตอนการบันทึกเอกสารของระบบจัดเก็บเอกสารราชการ ที่ช่องผู้ลงนามควรกรอกข้อมูลอะไร ?,1ผู้บันทึกข้อมูล,2ผู้ลงนามในหนังสือ,3ผู้พิมพ์/ทาน ในหนังสือ,4ผู้ใช้งานระบบฯ,2
22,ในการค้นหาเอกสาร ในระบบจัดเก็บเอกสารราชการนั้น ผู้ใช้สามารถค้นหาเอกสารได้จากเงื่อนไขต่อไปนี้ ยกเว้น ข้อใด ?,1รหัสเอกสาร,2รหัสแฟ้ม,3ชื่อเรื่อง,4หน่วยงาน,2
23,ในกรณีที่ผลการค้นหามีข้อมูลตรงตามเงื่อนไขที่ใช้ในการค้นหาเป็นจำนวนมาก สามารถจัดเรียงข้อมูลที่ได้จากการค้นหาโดยคลิกที่ใด ? ,1คลิกที่ชื่อหัวข้อที่ต้องการจัดเรียง,2คลิกที่เลขลำดับที่ต้องการให้ขึ้นเป็นลำดับแรก,3คลิกที่เลขรหัสเอกสารที่ต้องการให้ขึ้นเป็นลำดับแรก,4คลิกที่วันที่ของหนังสือที่ต้องการให้ขึ้นเป็นลำดับแรก,1
24,ในกรณีที่ผลการค้นหามีข้อมูลตรงตามเงื่อนไขที่ใช้ในการค้นหาเป็นจำนวนมาก การจัดเรียงข้อมูลมีลักษณะดังต่อไปนี้ ยกเว้น ข้อใด ?,1เรียงลำดับอักษรจากน้อยไปมาก,2เรียงลำดับอักษรจากมากไปน้อย,3เรียงลำดับจากรหัสเอกสาร,4ถูกทั้งข้อ 1 และข้อ 2,3
25,ขนาดกระดาษที่สแกนเข้าระบบจัดเก็บเอกสารราชการ ควรกำหนดเป็นขนาดเท่าใด ?,1A4,2A5,3A3,4A8,1
26,เอกสารที่นำมาเข้าระบบจัดเก็บเอกสารราชการ ควรตรวจสอบขนาดไฟล์เอกสารไม่ให้มีขนาดเกินเท่าใด ?,11000KB,2500KB,31024KB,42048KB,3
27,ถ้าไฟล์หนังสือที่สแกนนำมาเข้าระบบจัดเก็บเอกสารราชการมีขนาดใหญ่เกินไป ควรทำอย่างไร ?,1แยกไฟล์หนังสือ 1 เรื่อง ออกเป็นไฟล์ละหน้า,2แยกไฟล์หนังสือ 1 เรื่อง ออกเป็นไฟล์ละ 5 หน้า,3ลดความละเอียดของเอกสาร,4ลดขนาดไฟล์เอกสาร,4
28,การเปิดดูเอกสารที่ได้ทำการบันทึกและนำเข้าระบบจัดเก็บเอกสารราชการแล้ว สามารถเปิดดูได้จากที่ใดบ้าง ?,1เข้าไปที่เมนูค้นหา,2คลิกที่แฟ้มหมวด>แฟ้มหลัก>แฟ้มรอง>เลือกเอกสาร,3เข้าไปที่เมนูบันทึกเอกสาร,4ถูกทั้งข้อ 1 และข้อ 2,4
29,ข้อใดต่อไปนี้ ไม่ใช่ ขั้นตอนในการใช้งานระบบจัดเก็บเอกสารราชการ ?,1ลงรับหนังสือ,2บันทึกข้อมูลเอกสาร,3สแกนเอกสาร,4ค้นหาเอกสาร,1
30,ข้อใด ไม่ใช่ ประโยชน์จากการใช้งานระบบจัดเก็บเอกสารราชการ ?,1ช่วยในการลดความบกพร่องในการปฏิบัติหน้าที่,2ช่วยในการสืบค้นเอกสารได้อย่างรวดเร็ว,3ช่วยในการติดต่อสื่อสารได้อย่างมีประสิทธิภาพ,4ช่วยในการตรวจสอบ ติดตาม และประเมินผลการฝึกอบรม,2
