1,“เจ้าหน้าที่” ตามความหมายของ พ.ร.บ.ความรับผิดทางละเมิดของเจ้าหน้าที่ หมายถึงผู้ใด,ข้าราชการ,เจ้าพนักงานของรัฐ,ลูกจ้างประจำหน่วยงานรัฐ,ถูกทุกข้อ,4
2,“หน่วยงานของรัฐ” ตามความหมายของ พ.ร.บ.ความรับผิดทางละเมิดของเจ้าหน้าที่ หมายถึงหน่วยงานใด,สำนักงานตำรวจแห่งชาติ,การไฟฟ้าฝ่ายผลิต,องค์การบริหารส่วนจังหวัด,ถูกทุกข้อ,4
3,ส.ต.ต.แดง ขับขี่รถจักรยานยนต์ออกตรวจท้องที่ ในเวลา 20.00 น. เมื่อถึงทางแยกรถจักรยานยนต์เสียหลักพุ่งเข้าชนร้านของนายขาวเสียหาย เช่นนี้ นายขาวจะต้องฟ้องร้องเรียกสินไหมทดแทนจากใคร,ส.ต.ต.แดง ผู้ขับขี่รถจักรยานยนต์แต่เพียงผู้เดียว,ผู้บังคับบัญชาของ ส.ต.ต.แดง ซึ่งจะต้องรับผิดชอบร่วมกันกับ ส.ต.ต.แดง,สำนักงานตำรวจแห่งชาติ,กระทรวงการคลัง,3
4,ถ้าการละเมิดอันเกิดจากการปฏิบัติงานของเจ้าหน้าที่ซึ่งไม่ได้สังกัดหน่วยงานของรัฐแห่งใดแห่งหนึ่งเช่นนี้ หากผู้เสียหายจะฟ้องร้องเรียกค่าสินไหมทดแทนจากการกระทำละเมิดของเจ้าหน้าที่ว่านั้น ผู้เสียหายจะต้องฟ้องผู้ใด,ไม่อาจฟ้องร้องหน่วยงานรัฐได้เลย,ฟ้องได้เฉพาะเจ้าหน้าที่ผู้กระทำละเมิดเท่านั้น,ฟ้องร้องต่อกระทรวงการคลัง,ฟ้องร้องต่อนายกรัฐมนตรี,3
5,ในกรณีที่หน่วยงานของรัฐได้ชดใช้ค่าสินไหมทดแทนให้กับผู้เสียหาย จากการที่เจ้าหน้าที่ของหน่วยงานนั้นกระทำละเมิดแล้ว หน่วยงานของรัฐจะมีสิทธิอย่างไรต่อไป,หน่วยงานรัฐยังสามารถใช้สิทธิไล่เบี้ยเอาจากเจ้าหน้าที่รัฐผู้ทำการละเมิดได้ทุกกรณี,หน่วยงานรัฐสามารถใช้สิทธิไล่เบี้ยเอาจากเจ้าหน้าที่รัฐ ผู้ทำการละเมิดได้ เฉพาะกรณีของการประมาทเท่านั้น,หน่วยงานรัฐสามารถใช้สิทธิ์ไล่เบี้ยเอาจากเจ้าหน้าที่รัฐผู้กระทำการละเมิดได้ หากเป็นกรณีกระทำละเมิดโดยจงใจ,ถูกทุกข้อ,3
6,ในกรณีที่เจ้าหน้าที่รัฐกระทำละเมิดในการปฏิบัติหน้าที่โดยประมาทเลินเล่ออย่างร้ายแรง ทำให้เอกชนเสียหาย เช่นนี้ใครจะเป็นผู้รับผิดชอบค่าสินไหมทดแทน,เจ้าหน้าที่รัฐผู้ทำละเมิด,หน่วยงานต้นสังกัดของเจ้าหน้าที่รัฐ,เจ้าหน้าที่รัฐและหน่วยงานต้นสังกัด,กระทรวงการคลัง,2
7,ในกรณีหน่วยงานของรัฐ ได้ชดใช้ค่าสินไหมทดแทนแก่ผู้เสียหายเพื่อการละเมิดของเจ้าหน้าที่แล้วนั้น หน่วยงานของรัฐจะใช้หลักเกณฑ์ใดในการพิจารณาไล่เบี้ยจากเจ้าหน้าที่,เจ้าหน้าที่รัฐผู้ทำละเมิดจะต้องชดใช้ค่าสินไหมทดแทนตามความเป็นจริงเต็มจำนวนของความเสียหาย,คำนึงถึงระดับความร้ายแรงแห่งการกระทำและความเป็นธรรมในแต่ละกรณีเป็นเกณฑ์,คำนึงถึงสัดส่วนของความเสียหายที่เกิดขึ้นต่อหน่วยงานรัฐ,คำนึงถึงความเสียหายและความสามารถของเจ้าหน้าที่รัฐในการที่จะชดใช้ค่าสินไหมทดแทน,2
8,ในกรณีที่ละเมิดเกิดจากการกระทำของเจ้าหน้าที่หลายคนร่วมกันและเป็นกรณีที่เจ้าหน้าที่แต่ละคนต้องรับผิดเช่นนี้ เจ้าหน้าที่รัฐเหล่านั้นจะต้องรับผิดใช้ค่าสินไหมทดแทนอย่างไร,ใช้หลักเกณฑ์เรื่องลูกหนี้ร่วม,เจ้าหน้าที่แต่ละคนต้องรับผิดใช้ค่าสินไหมทดแทนเฉพาะส่วนของตนเท่านั้น,เจ้าหน้าที่แต่ละคนจะต้องรับผิดใช้ค่าสินไหมทดแทนเท่ากันทุกคน,ไม่มีข้อใดถูก,2
9,ในกรณีผู้เสียหายเห็นว่าหน่วยงานของรัฐต้องรับผิด ในผลแห่งละเมิดที่เจ้าหน้าที่รัฐได้กระทำลงไป เพราะการปฏิบัติหน้าที่ ผู้เสียหายจะต้องยื่นคำขอต่อหน่วยงานของรัฐให้พิจารณาชดใช้ค่าเสียหายแล้ว หากผู้เสียหายไม่พอใจในผลที่หน่วยงานนั้นมีคำสั่งออกมาเช่นนี้ ผู้เสียหายจะดำเนินการอย่างไรต่อไป,ยื่นคำร้องอุทธรณ์คำสั่งต่อกระทรวงการคลัง,ยื่นคำร้องอุทธรณ์คำสั่งต่อนายกรัฐมนตรี,ฟ้องต่อศาลปกครอง,ถูกทุกข้อ,3
10,เมื่อหน่วยงานของรัฐได้ชดใช้ค่าสินไหมทดแทนแก่ผู้เสียหายกรณีที่เจ้าหน้าที่ไปละเมิดต่อบุคคลภายนอก แล้วหน่วยงานนั้นมีสิทธิที่จะเรียกเจ้าหน้าที่ผู้ทำละเมิดชดใช้ค่าสินไหมทดแทนภายในอายุความกี่ปี,1 ปี,5 ปี,10 ปี,ไม่มีอายุความ,1
